,index,int_val,rsq,rsq_adj,log_rsq_adj,slope_pval,log_rsq,log_int_pval,log_slope_val,log_int_val,slope_val,log_slope_pval,int_pval,subj_id
43,(wfpt.137),0.326395110856887,0.0035115009112025586,0.003506800449410097,0.003640861007962126,3.3867870446432146e-164,0.003645562900022714,0.0,0.04503400069775366,1.1387354743188314,0.04505648703180287,2.522582207283474e-170,0.0,s492
44,(wfpt.138),0.5038941917180438,0.0011732555551163815,0.0011685661836460248,0.002161386044311042,2.5359852010640224e-56,0.0021660858913009617,0.0,0.03654055030599379,1.186231269939281,0.025371205042813323,3.966274677517475e-102,0.0,s495
45,(wfpt.139),0.41276703908839363,5.95703061851971e-05,5.5014727411428765e-05,5.570338925153795e-05,0.0002991158296472785,6.026222566501982e-05,0.0,0.005867145789168695,1.2055990483790247,0.005894462408713372,0.00027722229891745913,0.0,s500
46,(wfpt.14),0.26440834819940257,0.0006738608008733937,0.0006692555688472268,0.0006902711439655818,1.1301474905920197e-33,0.0006948768097543301,0.0,0.019720263025728334,1.1527132597712195,0.019594154793723038,1.1465371773160765e-34,0.0,s049
47,(wfpt.140),0.3127189499203118,0.0019044796351224136,0.0018998587797425248,0.0017811579223216967,1.520891378386952e-91,0.0017857837389241293,0.0,0.028252506409918044,1.1519738132579267,0.031071166969983126,7.13988522385041e-86,0.0,s501
48,(wfpt.141),0.4391498366033318,0.0005297826530799021,0.0005252703314456708,0.0005878980148875668,2.3741819336625874e-27,0.0005924141927760029,0.0,0.01817175151096751,1.1975599500766485,0.01749680959073848,2.3111153258318664e-30,0.0,s502
49,(wfpt.142),0.5319435341335699,0.00022606784981316075,0.0002217209688308852,0.00020206513037135387,5.547468272267903e-13,0.00020641999240267328,0.0,0.012376834458793326,1.223242607886637,0.011916205166291848,5.803357062763356e-12,0.0,s504
50,(wfpt.143),0.2846666720415977,0.0026840015935891692,0.0026795091387092906,0.002480663568124819,8.995853681773252e-132,0.0024851571008804862,0.0,0.04465705497459686,1.1290345198255105,0.04536048747371317,3.8544059172205827e-122,0.0,s505
51,(wfpt.144),0.4752201006906984,0.001073260621826444,0.0010687303007378413,0.0011316478745462266,1.9823678828702264e-53,0.0011361794927701174,0.0,0.030270622142575688,1.1897842304728368,0.029660381483669868,1.9412235432891675e-56,0.0,s507
52,(wfpt.145),0.3284313213331805,0.0001510007641033484,0.00014638248125886655,0.00016314583916277048,1.0788320698512403e-08,0.00016776451391420366,0.0,0.010565950956194444,1.1795717572147408,0.009676652879485284,1.6744076002799916e-09,0.0,s508
53,(wfpt.146),0.3831239411784862,0.0007779195299711938,0.0007733041428521492,0.0012163829510798418,1.5865898226471014e-38,0.001220997591840911,0.0,0.029012252372521204,1.1693291855816943,0.024401334751341576,1.8575124832415415e-59,0.0,s509
54,(wfpt.147),0.3344483805918088,0.0011097996752618133,0.0011048051743152154,0.001314009609769129,3.181275916809599e-50,0.00131900323946621,0.0,0.03289686352737382,1.155071336537815,0.03045878173215022,2.3489144453526997e-59,0.0,s510
55,(wfpt.148),0.09082839508415269,1.8519600593069896e-06,-2.921346359041621e-06,-2.8175371595828835e-06,0.5333623965553301,1.9561561291903118e-06,0.0,-0.0009375456679667745,1.1203942544092784,-0.0009714799499479733,0.5220827309714251,0.0,s551
56,(wfpt.149),0.5478684901567519,6.670915687689849e-05,6.181945971195368e-05,0.0001846884335613419,0.0002211450920827358,0.00018958169337568442,0.0,0.01236389713078412,1.2210525858235866,0.00765977970475669,4.842669223634384e-10,0.0,s556
57,(wfpt.15),0.39203106036275615,0.0035423493124243643,0.0035379499020513627,0.0027076278911212226,8.223782738548253e-177,0.0027120313562201126,0.0,0.04824220886716303,1.1538127495815635,0.05510955752047962,8.926943774571008e-136,0.0,s060
58,(wfpt.16),0.424517060678984,1.494621196806989e-06,-3.1031153588934046e-06,1.4314471901144543e-06,0.5685726379859498,6.029628002557352e-06,0.0,0.0022187897035724708,1.2110340446638916,-0.0011231254681122183,0.2521593605801753,0.0,s062
