,index,slope_val,int_pval,log_int_pval,log_int_val,rsq,int_val,rsq_adj,log_slope_pval,log_rsq,slope_pval,log_rsq_adj,log_slope_val,subj_id
10,(wfpt.12),0.052849543768428854,0.0,0.0,1.2154992746602722,0.002966439068249671,0.5504636140762085,0.0029553606713861313,3.155526247739821e-36,0.0017536361747167994,4.2497581013011705e-60,0.0017425443019660758,0.04575067776267464,s034
11,(wfpt.13),-0.010142992462755733,0.0,0.0,1.2510351486754403,7.24034397950879e-05,0.4765949839987729,6.129288626555152e-05,0.03605799116741785,4.8826386312872394e-05,0.010688628021684615,3.771557081022614e-05,-0.008734762986184424,s042
12,(wfpt.14),-0.010763212167931661,0.0,0.0,1.2575379942131713,9.307711221329118e-05,0.4900036361878408,8.196678839633709e-05,0.016539806153984583,6.382817084005232e-05,0.0037997881613497106,5.2717522027623254e-05,-0.00923270328272371,s049
13,(wfpt.15),-0.019302130325520216,0.0,0.0,1.275538536248868,0.00019861082323358037,0.5037252444649954,0.00018750167203940293,4.2232382157791304e-05,0.00018630255812579488,2.35744487275811e-05,0.00017519327017012643,-0.02112523810037524,s060
14,(wfpt.16),-0.009415653163367397,0.0,0.0,1.276300938462814,7.096648890558832e-05,0.5645060718561961,5.985591940949053e-05,0.03489593079446346,4.9447485789611e-05,0.011495700427554175,3.833667718822209e-05,-0.008112875811986334,s062
15,(wfpt.17),0.04597271321746988,0.0,0.0,1.247320237989669,0.0018350767193213713,0.6640447564571044,0.0018239237893868943,1.14572101400537e-28,0.0013777463369278875,1.2459876390246696e-37,0.0013665882970426146,0.04469035142000441,s063
16,(wfpt.18),0.1886113157863661,0.0,0.0,1.0160968806349753,0.04901543509531736,0.4410914840354769,0.049004868365335574,0.0,0.051077365619093595,0.0,0.05106682179996014,0.19636417517453855,s065
17,(wfpt.19),0.14048064080020414,0.0,0.0,1.0928196434528488,0.021800857883962355,0.5176039539914503,0.02178998876306959,0.0,0.020975419123354988,0.0,0.020964540830716638,0.14669295253148257,s066
18,(wfpt.2),0.09250758330275898,0.0,0.0,1.1381622646041687,0.0073278893961248315,0.4571314146609682,0.00731685946089744,5.687401100896694e-113,0.005653199913538187,5.712091635118486e-146,0.005642151370236381,0.09153629876560468,s009
19,(wfpt.20),0.2972411715078209,0.0,0.0,0.8917206225584059,0.11736349183508588,0.4681521534158442,0.11735368454483319,0.0,0.12530531913700316,0.0,0.12529560009123708,0.3131560649343115,s071
20,(wfpt.21),0.11856930490149468,0.0,0.0,1.092244630021276,0.019501970249375833,0.40392592886632595,0.01949107558471941,0.0,0.01943036151761912,0.0,0.0194194660572925,0.11952441735626723,s081
21,(wfpt.22),0.21506736161092274,0.0,0.0,0.9850544426510226,0.04318553493082278,0.3940452269289818,0.043174903422733,0.0,0.03798423935244011,0.0,0.03797355005089298,0.21329696643391527,s082
22,(wfpt.23),0.015331273969934469,0.0,0.0,1.2167189043856053,0.00018474712918081782,0.4145829694651938,0.00017357575939758174,0.021758341161526217,5.882680146196417e-05,4.7736782083973665e-05,4.765402471629265e-05,0.009245624505867635,s083
23,(wfpt.24),-0.0011948560224574571,0.0,0.0,1.247046075122798,1.5497918240958697e-06,0.4867614523768941,-9.561548985681512e-06,0.38794413056979105,8.282152943905885e-06,0.7088010036152883,-2.8291130602653425e-06,-0.0027744934700867415,s084
24,(wfpt.25),0.03126727612268561,0.0,0.0,1.2443468469214292,0.001037117898293527,0.546638297757849,0.0010259560524188416,1.2823543493724811e-06,0.00026197868569954874,5.591168407522953e-22,0.00025080817885803075,0.018279499131429722,s085
25,(wfpt.26),-0.0033546537656423,0.0,0.0,1.1932146462338793,1.0635423905669406e-05,0.30531181385830225,-4.7581595041812363e-07,0.3175973016008707,1.1098196260106441e-05,0.3279017714122634,-1.303845387212732e-08,-0.0034338217003013656,s086
26,(wfpt.27),0.005635265459749737,0.0,0.0,1.269109758568362,2.7806936699903417e-05,0.5537183448609984,1.6695887642637075e-05,0.4880252234944237,5.343214787734141e-06,0.11365926947124365,-5.768083872093044e-06,-0.002804984586207017,s089
27,(wfpt.28),0.010345286713425826,0.0,0.0,1.226822512684314,8.820736713988087e-05,0.4457549624036657,7.709698921343211e-05,0.06771793801597498,3.7083537181126225e-05,0.004838610676551533,2.5972591199519002e-05,0.007179121801916998,s091
28,(wfpt.29),0.0012866908436073164,0.0,0.0,1.2269751627368028,1.3305587296397192e-06,0.43245472899168663,-9.780784516078e-06,0.7614202451947819,1.0242817832795126e-06,0.7293090082567872,-1.0087064865604844e-05,0.001185032676724612,s092
29,(wfpt.3),0.010256572048309069,0.0,0.0,1.2323233996519878,8.543742893840633e-05,0.4652128669201885,7.420218137577095e-05,0.183329536982233,1.9892772453955487e-05,0.005823758464704591,8.656788417993333e-06,0.005473149475156646,s011
30,(wfpt.30),-0.005508072905817887,0.0,0.0,1.2662295334121012,2.0145532553472734e-05,0.533134630652593,9.034398367635532e-06,0.18776281573480094,1.927907024668052e-05,0.17814089211143455,8.167926433211292e-06,-0.006080203223996574,s093
31,(wfpt.31),0.003964473949572419,0.0,0.0,1.2486197193939659,1.563022947259629e-05,0.48100250261540284,4.519045115558562e-06,0.4465012260615051,6.439249447542927e-06,0.2356062222101733,-4.6720370336927886e-06,-0.0027520668017210976,s094
32,(wfpt.32),0.011154090265485299,0.0,0.0,1.246322126150963,0.0001379055740089452,0.49350655558471146,0.0001267957482969928,0.6076269561670194,2.929466312084905e-06,0.0004265808401351225,-8.181859167732952e-06,0.0015930220718103991,s097
33,(wfpt.33),0.07887113054060109,0.0,0.0,1.1670683016028762,0.004043733469057842,0.5208305475915626,0.004032605217403895,2.083959442316374e-60,0.002998805169826091,7.502914907610637e-81,0.0029876652427347494,0.08112332693774536,s098
34,(wfpt.34),-0.008279495236743914,0.0,0.0,1.2586808364920554,5.4541393262108606e-05,0.4854179650338396,4.343064126088869e-05,0.0256881454556437,5.5298767431266604e-05,0.02672139108687788,4.4188023845537217e-05,-0.009539489452566606,s103
35,(wfpt.35),-0.0012397853199032469,0.0,0.0,1.24197751233739,1.5838787346122984e-06,0.47746416352619075,-9.65231102378894e-06,0.7763983780692144,9.063721970736793e-07,0.7073271553131579,-1.0329825174126839e-05,-0.0009617151969006851,s106
36,(wfpt.36),0.028049908592639342,0.0,0.0,1.222660016459401,0.00041223413843716195,0.4937314181458971,0.0004011273608881538,8.368636005170663e-06,0.0002205567314264023,1.1178196621195702e-09,0.0002094478240810549,0.02395193078715656,s108
37,(wfpt.37),-0.002448621933071487,0.0,0.0,1.2412636061444688,3.9365991122419786e-06,0.4612436621525965,-7.1747151768608575e-06,0.6924196314557418,1.738696299935505e-06,0.5516975867029038,-9.372642410854226e-06,-0.001769540627977047,s110
38,(wfpt.38),-5.4243573482737144e-06,0.0,0.0,1.225122583638661,2.878541849327121e-11,0.42889645834526746,-1.1173405257469682e-05,0.9227752762174501,1.0499803904107097e-07,0.9987193343283618,-1.1068434830896479e-05,-0.00033196225658913567,s111
39,(wfpt.39),0.04887090149988949,0.0,0.0,1.2135013750586097,0.002665963699530649,0.5043952683920017,0.0026547574472968183,1.5635576706702865e-21,0.0010200990504555252,1.324891265870914e-53,0.0010088743049448956,0.03589752361183527,s112
40,(wfpt.4),-0.007571835888019624,0.0,0.0,1.2231112920714,6.121089781996325e-05,0.3946863776628065,5.003814771276094e-05,0.09730463341293424,3.071742362137364e-05,0.01925298398582591,1.9544332797383213e-05,-0.005607491917271666,s012
41,(wfpt.40),0.11854579198355318,0.0,0.0,1.0882612591580885,0.014690201485018761,0.36298123513544955,0.014679253355076916,4.93383446188911e-209,0.010522057942791041,1.3288901363109224e-291,0.010511063499113904,0.11233495120185402,s121
42,(wfpt.41),0.005557241964607154,0.0,0.0,1.1983485582933895,4.753662766987521e-05,0.3825043598634951,3.5772204232120686e-05,0.059917454397112865,4.1658213288831014e-05,0.04441827566370297,2.988956695382239e-05,0.005042372151108183,s128
43,(wfpt.42),-0.009053757716569572,0.0,0.0,1.2858993161662187,6.43460714789823e-05,0.6298276004553498,5.30471081812145e-05,0.22736782963788896,1.6466456232322457e-05,0.017016708973423767,5.166951909663098e-06,-0.0051778135429159326,s129
44,(wfpt.43),0.007242849548009834,0.0,0.0,1.2080375018779288,4.213178007783647e-05,0.38494377839060245,3.102089018902632e-05,0.05879621804954023,3.9678304726287195e-05,0.051503163985875594,2.8567387576061698e-05,0.007208991159453594,s142
45,(wfpt.44),0.04096740191290353,0.0,0.0,1.2063467750042467,0.0016229390699332713,0.4791718250026452,0.0016118457449602053,1.5575217678608111e-21,0.0010088549726198215,1.1862738319573472e-33,0.0009977548243385037,0.035625383664361965,s145
46,(wfpt.45),0.13895530480492727,0.0,0.0,1.1020856697940775,0.02620139829549495,0.5304290293965334,0.026190517621047515,0.0,0.0217098875051851,0.0,0.0216989566451381,0.14176381952991293,s149
47,(wfpt.46),0.003017210443285806,0.0,0.0,1.2612179998483042,7.990332525631416e-06,0.5429016555119539,-3.120936721057177e-06,0.9409582094271213,6.095401416938984e-08,0.39643507307622816,-1.1050403338597192e-05,0.0002837148816083176,s161
48,(wfpt.47),0.09644833547114817,0.0,0.0,1.136598305869709,0.010627939472083514,0.46345839685859763,0.010616884788621106,2.315926455062364e-159,0.008051481101996383,5.7672982262746714e-210,0.008040397630646345,0.09419718598369681,s163
49,(wfpt.48),0.00449027126852662,0.0,0.0,1.2422199784920709,1.8905414057024394e-05,0.4804351028621384,7.669418926936622e-06,0.6132564202513003,2.870414790079323e-06,0.1945858965422249,-8.365760512552e-06,0.0018291395453239184,s165
50,(wfpt.49),0.03436564577517836,0.0,0.0,1.230173538358367,0.0011656711676096831,0.5316352118943906,0.001154510758116456,6.621711578003164e-13,0.0005769821522277896,1.6654435122533183e-24,0.0005658151650567156,0.02647632180146841,s168
51,(wfpt.5),0.05552624018498118,0.0,0.0,1.1916428021392553,0.0027366397030080813,0.4621831515904709,0.002725558752761481,2.474571084045921e-31,0.001505269589954672,1.4109409270790055e-55,0.0014941749575139163,0.045553225148795465,s014
52,(wfpt.50),0.0008297786393226802,0.0,0.0,1.2565939273109392,5.743395935509099e-07,0.5652420197807375,-1.072534430512917e-05,0.09924474102199028,3.070817672912174e-05,0.8216293386566905,1.9408833333511843e-05,0.006321335812716062,s170
53,(wfpt.51),0.006380858697545287,0.0,0.0,1.2024064316943341,4.8280216313978386e-05,0.40852056317555824,3.710732172668152e-05,1.433425889600092e-06,0.00025958864242536794,0.037643400371000064,0.00024841798406416427,0.014720844435097209,s173
