,index,log_rsq,log_int_val,rsq_adj,log_slope_pval,int_val,log_slope_val,slope_pval,int_pval,slope_val,rsq,log_rsq_adj,log_int_pval,subj_id
30,(wfpt.125),1.8989715887096636e-05,1.2279617230877722,8.596330136501074e-06,0.23271420155311165,0.39916060278138765,-0.005535098103402174,0.19968282410262225,0.0,-0.00571772941361824,2.1929726630731672e-05,5.656280191779217e-06,0.0,s449
31,(wfpt.126),1.0783701794858658e-06,1.2509532471810094,-1.2699023369977525e-05,0.7761149718560463,0.4906814036567572,-0.0009734708417591387,0.8272974450564853,0.0,-0.0007484870529252674,6.346570661230899e-07,-1.225530434023625e-05,0.0,s451
32,(wfpt.127),2.262685631637673e-06,1.2629864033490614,-1.1267400663816929e-05,0.6803821611714076,0.5459653395284829,0.0016979549809544303,0.6938355001127674,0.0,0.0016096142592222722,2.0662606835530895e-06,-1.107097309671623e-05,0.0,s453
33,(wfpt.128),4.960354156313684e-07,1.2098338805283517,-1.2631175671407036e-05,0.8470555251568925,0.38546215055800354,0.0016556584680839231,0.8184535684252879,0.0,0.0017369527896817561,7.025038598618139e-07,-1.2837646868657515e-05,0.0,s456
34,(wfpt.129),5.812466197485655e-05,1.2432437870942432,2.6983207041642032e-05,0.03680675636184964,0.5077300584532467,0.009038659615720868,0.08205671338476546,0.0,0.007792212062223325,4.031635837420389e-05,4.479174809268738e-05,0.0,s467
35,(wfpt.13),1.8113982054313027e-06,1.222062516030419,-1.1440750645963504e-05,0.7124415702514071,0.38921664953401747,-0.0022802033209308736,0.7063364050055556,0.0,-0.00201578091915938,1.8929130128908511e-06,-1.1522266540220372e-05,0.0,s042
36,(wfpt.130),2.21322799198731e-07,1.2359038830689806,-1.2953249376446152e-05,0.8974875922820726,0.44353601292912204,0.0004069868154209788,0.8658649887322568,0.0,0.0005327040913666627,3.8043444927637893e-07,-1.311236314816e-05,0.0,s469
37,(wfpt.131),1.7299885408661453e-06,1.2552623187625467,-1.1483558720160048e-05,0.7195962012020753,0.5178374889415024,0.001241712847994644,0.7038525727128531,0.0,0.0014549107630320768,1.939594389988031e-06,-1.1693167383031167e-05,0.0,s471
38,(wfpt.132),1.188016446218576e-06,1.259419197460312,-1.2220643897942196e-05,0.7653266044491004,0.530035922543499,0.0010184450852815108,0.7726429168168222,0.0,0.001020189632799296,1.1130301594830527e-06,-1.2145656611561861e-05,0.0,s473
39,(wfpt.133),6.601359533453532e-07,1.2167350833361654,-1.252955075914386e-05,0.823920628528565,0.38406686456284156,0.0011342708640904864,0.8060104720002473,0.0,0.0011748869328857686,8.041274172088109e-07,-1.2673544143027016e-05,0.0,s477
40,(wfpt.134),2.236502186669931e-06,1.2701780188799843,-1.2036896555489562e-05,0.6821351340049944,0.5778153909268557,0.0014289600153535795,0.7551490059815356,0.0,0.001134791769303453,1.2967750521175603e-06,-1.1097156890738091e-05,0.0,s481
41,(wfpt.135),2.2866971528534563e-06,1.2557019984776427,-1.3037111744829133e-05,0.6787849961336365,0.5072592751679967,-0.0021479510872368587,0.8814444539820478,0.0,-0.0006960596979829281,2.9657319899900614e-07,-1.1046961255312127e-05,0.0,s484
42,(wfpt.136),1.9796089545387474e-08,1.2380072396117328,-1.3332852678349383e-05,0.9692641161323359,0.45083677671079053,-0.00018445836740067778,0.9936814651137791,0.0,3.57140821145548e-05,8.362087688951192e-10,-1.331389254488613e-05,0.0,s489
43,(wfpt.137),4.578607126770606e-08,1.2561594862288445,-1.3324552983862148e-05,0.9532715196057803,0.5134629038017829,-0.0002084457156292588,0.9791172844655356,0.0,-9.684209904565338e-05,9.135792566894452e-09,-1.3287902216552183e-05,0.0,s492
44,(wfpt.138),1.4847227537195806e-05,1.2534617960974226,-3.5391061523615264e-06,0.29293357713783635,0.5231207293926741,0.004258677178892126,0.3908382534240552,0.0,0.003249182372813181,9.883940319532769e-06,1.424247688452951e-06,0.0,s495
45,(wfpt.139),1.9430555813215733e-06,1.2242514706089824,-1.0658381502492986e-05,0.7026551746726062,0.3980558785899643,-0.0021101838698219313,0.6542055898505007,0.0,-0.0023458640952897566,2.6752717245948077e-06,-1.1390607408845455e-05,0.0,s500
46,(wfpt.14),1.0703891587526826e-06,1.233247702523851,-1.2679688282224433e-05,0.776922982835841,0.4394256394550475,0.001232660178232918,0.8247285805727488,0.0,0.0009451042882663505,6.539918959713731e-07,-1.22632854673288e-05,0.0,s049
47,(wfpt.140),4.4222278242633806e-06,1.2549687941389527,-1.098931123344471e-05,0.564685149707719,0.5196936190556788,0.0021018471298463112,0.6749900687855479,0.0,0.0016126702150950564,2.344346406002451e-06,-8.9114021095682e-06,0.0,s501
48,(wfpt.141),7.40689204414835e-07,1.2321524342110448,-1.0956122947325397e-05,0.8136730934163378,0.4278203329250927,-0.0009524037918229172,0.6728302135748279,0.0,-0.0016924116487881582,2.3775342498089103e-06,-1.2592989817816758e-05,0.0,s502
49,(wfpt.142),1.1616426823013448e-05,1.2265713003703156,-9.649391499166882e-07,0.3506210916245812,0.4284829781498439,0.004189431504953545,0.33548247567554157,0.0,0.0042017480797511535,1.2368584829447471e-05,-1.7171071855504039e-06,0.0,s504
50,(wfpt.143),6.074803305500254e-06,1.245071827508942,-9.988973902474996e-06,0.49968920390506666,0.489902141744076,0.0027521826049720297,0.6164825850906521,0.0,0.0019209502351987709,3.3446703989747917e-06,-7.258804593401891e-06,0.0,s505
51,(wfpt.144),7.501834505185823e-05,1.2488062357582836,5.472859903921101e-05,0.01769193550112995,0.44855829299589123,-0.010072964473910082,0.02386238304833353,0.0,-0.009022263432418444,6.80613804282526e-05,6.168565642483692e-05,0.0,s507
52,(wfpt.145),1.7851363657617192e-05,1.2178964386820317,3.7795553492481204e-06,0.2472422421605477,0.40862456015007653,0.006438538729329955,0.2572595875620266,0.0,0.005702035958146008,1.7113016067993314e-05,4.517912783774669e-06,0.0,s508
53,(wfpt.146),8.67500672108168e-06,1.2428119130993442,-6.974628675049388e-06,0.41989587392099403,0.45397755270063744,-0.003976224167057993,0.4898258603295017,0.0,-0.0031214888788302962,6.358975434772596e-06,-4.658566507442785e-06,0.0,s509
54,(wfpt.147),2.0845834359239923e-05,1.2349734457334023,3.7097003473540724e-06,0.21116783185378307,0.46014617389793344,0.005044545564919747,0.2582329712254281,0.0,0.004404785137898078,1.704316199746536e-05,7.512423412792124e-06,0.0,s510
55,(wfpt.148),2.066146365109489e-09,1.2129314361570445,-1.3237209484096013e-05,0.9900680876717283,0.36614859732662935,-5.3835909627439685e-05,0.9322117505609929,0.0,-0.0003571504850602887,9.64781279311211e-08,-1.333162272443289e-05,0.0,s551
56,(wfpt.149),2.6357651470299004e-06,1.259371299531577,-1.137813122409348e-05,0.6566032411175908,0.5603007666062249,0.0018557993544203715,0.7017477159854524,0.0,0.001531432262081051,1.9555315998731615e-06,-1.0697888606747696e-05,0.0,s556
57,(wfpt.15),2.3327637526104894e-06,1.2262793915159387,-1.0820680736545185e-05,0.6757480950736832,0.40218454505730594,-0.002175017760715492,0.6641955496694913,0.0,-0.002104891868485028,2.5129746545893283e-06,-1.1000894041268694e-05,0.0,s060
58,(wfpt.16),1.3038849352886572e-05,1.2528168563592725,1.5104914419250548e-06,0.3243392373797621,0.5249739377014813,0.003773007303415954,0.29153600492834136,0.0,0.004015654769768839,1.4933470133038362e-05,-3.84154769994538e-07,0.0,s062
59,(wfpt.17),1.2902054501440219e-06,1.2314608553146558,-1.2400102976650729e-05,0.7557502165286991,0.4225416968774935,-0.001098641194284579,0.7913139087938673,0.0,-0.0009472662267573919,9.335734736382051e-07,-1.2043466244948675e-05,0.0,s063
60,(wfpt.18),6.286224974672017e-06,1.254914125300285,-1.4633381830719827e-06,0.4923196445341774,0.5098558352353344,-0.0034377088213683816,0.3454122672882828,0.0,-0.0039212325940668575,1.1870192441754135e-05,-7.047380105040801e-06,0.0,s065
61,(wfpt.19),1.011630198821667e-05,1.26794059917054,1.3809653995888738e-06,0.38373528588188477,0.5487076565625445,-0.0032619514254139566,0.2934871010334,0.0,-0.0037526122970368697,1.4714458099862604e-05,-3.2172520225692836e-06,0.0,s066
62,(wfpt.2),4.665622200583641e-06,1.2180663314504445,-8.945757482781147e-06,0.5541636185905818,0.39731953297237443,0.0025102708902015047,0.5662011901366846,0.0,0.0023790899457992575,4.387872909017432e-06,-8.668004487732972e-06,0.0,s009
63,(wfpt.20),1.2052456907385434e-05,1.2429439199478132,-2.514236946193904e-06,0.34173556652041237,0.4875317479100135,0.004295778964674715,0.3676991607123039,0.0,0.003549307417105566,1.0819307690757007e-05,-1.2810712872735053e-06,0.0,s071
64,(wfpt.21),9.02183685480562e-06,1.248575414103251,-5.425549432613863e-06,0.41075365144554576,0.49706050666164275,0.0026155232511446483,0.44122859296875216,0.0,0.002432819170976935,7.908034022507948e-06,-4.311731749195857e-06,0.0,s081
65,(wfpt.22),5.238468781310068e-06,1.2210890873512876,-8.717437208760614e-06,0.530793036034521,0.39913109449498463,0.002036907072125921,0.5562701338736892,0.0,0.0019159069779544867,4.616190138806431e-06,-8.095150269005202e-06,0.0,s082
66,(wfpt.23),1.1945882755215464e-06,1.2393497037865946,-1.236684941097188e-05,0.7662255307545258,0.4494190582212666,-0.0019038334954555036,0.7707949598767302,0.0,-0.0017060061488026017,1.1470138420177634e-06,-1.2319274334648966e-05,0.0,s083
67,(wfpt.24),6.550081870204671e-05,1.2196179423883415,5.5149312599422906e-05,0.026662119537548917,0.42715446356540127,0.010111669409866159,0.023432405847122834,0.0,0.009684869615358895,6.848208837884062e-05,5.2168003171204624e-05,0.0,s084
68,(wfpt.25),1.1946573574839192e-07,1.2368223982532098,-1.3309503194225414e-05,0.9245885976552857,0.4438304093439088,-0.0003689558932973569,0.9660289738151073,0.0,-0.00017298980863737073,2.4185381697350294e-08,-1.3214221569635143e-05,0.0,s085
69,(wfpt.26),2.0277889494213497e-06,1.3136533983014664,-9.304890684624922e-06,0.6965562135300138,0.7468004289037005,0.0025210219558434305,0.5825399555305274,0.0,0.003846599474497216,4.028744495787606e-06,-1.1305872910982728e-05,0.0,s086
70,(wfpt.27),4.4519358066708037e-07,1.2983426751263112,-1.3205967552387676e-05,0.8554926001149853,0.6798160659230625,0.0007799186279562054,0.8987769249738526,0.0,0.0005115408179748844,2.1720867782182296e-07,-1.2977979589212651e-05,0.0,s089
71,(wfpt.28),1.0148448836844182e-07,1.2119107779141949,-1.3326629369370124e-05,0.9304795348167552,0.3592141601174181,-0.0005221008688149134,0.9816426450487394,0.0,-0.0001279334093918544,7.05943481449367e-09,-1.3232203056823266e-05,0.0,s091
72,(wfpt.29),1.700379377966854e-05,1.2296297813437513,-3.3604708422618756e-06,0.25878355393692315,0.4426888397731114,0.005045300779950114,0.3871228199419561,0.0,0.003637526171384656,9.973085077996657e-06,3.670331604643806e-06,0.0,s092
