,index,rsq_adj,log_int_val,slope_pval,log_slope_pval,log_rsq,log_rsq_adj,log_slope_val,rsq,int_val,log_int_pval,int_pval,slope_val,subj_id
18,(wfpt.114),0.0002992010211406715,1.2656736556567918,2.954614787567644e-16,0.10482194287846462,1.1957782430238595e-05,7.4121756199474476e-06,0.003407877310576509,0.00030374513633657507,0.582855147984924,0.0,0.0,0.016844379995693534,s397
19,(wfpt.115),5.6036276678828045e-06,1.2562970627550631,0.13560120028526762,0.7465354701818648,4.771292837491004e-07,-4.0902047750979165e-06,0.0006850222153609829,1.0169832976414384e-05,0.6046390935783369,0.0,0.0,-0.0031381141256414807,s402
20,(wfpt.116),1.836481982453453e-05,1.231084931065187,0.027835420670197945,0.9578963905601998,1.3369887197356434e-08,-4.78357535382834e-06,9.924325757099681e-05,2.3149443842740425e-05,0.564113672749169,0.0,0.0,-0.00429200015148142,s403
21,(wfpt.117),-4.5068695120331626e-06,1.240824044960457,0.9265528255052701,0.025378639376183575,2.272024298810571e-05,1.817431314354856e-05,0.004658193733248005,3.8626180587364445e-08,0.5297989416937523,0.0,0.0,-0.00019217328302835717,s408
22,(wfpt.118),0.0003985174485895415,1.302492853635154,6.2466650803999456e-21,0.012764103910935904,2.8388636165388448e-05,2.381101764115101e-05,0.005663273893586457,0.00040309230468749124,0.7449852876855451,0.0,0.0,0.019752653285487864,s409
23,(wfpt.119),2.2290138936842396e-06,1.2479261429392938,0.2235466478668099,0.033524075340168866,2.092219906646431e-05,1.6292237598691806e-05,0.004504541785374494,6.858654637231787e-06,0.5508049021739676,0.0,0.0,0.0025624661982201094,s420
24,(wfpt.12),1.556527722057499e-05,1.2175047239133723,0.035754429024231496,1.8233847886132386e-08,0.00014465345350711534,0.00014008686137845228,0.011415047283045994,2.013143704182596e-05,0.48557408383871764,0.0,0.0,0.004312326650991377,s034
25,(wfpt.120),3.841486320932397e-06,1.2711874189228158,0.1743526818559187,0.07068764223342602,1.4851587583297743e-05,1.0305663299514656e-05,-0.0038432236557974417,8.386944066240964e-06,0.6024575118528432,0.0,0.0,-0.0028203198823776587,s421
26,(wfpt.121),-2.755632648954176e-06,1.2458620072673021,0.5303274916343268,0.7528803541474235,4.5058222775118395e-07,-4.094932253950745e-06,0.0006780961957454507,1.7898550834782867e-06,0.5220896219570487,0.0,0.0,-0.0013430829491684454,s425
27,(wfpt.122),0.0005752757797271579,1.2787865834952927,1.838918093423801e-29,5.898048629710148e-10,0.00017513268648994273,0.00017056698426554107,0.01426267760564151,0.0005798393837810334,0.675110124682386,0.0,0.0,0.02383680237803975,s427
