,index,log_int_pval,rsq_adj,rsq,log_slope_pval,int_val,log_rsq,log_rsq_adj,slope_val,log_slope_val,int_pval,log_int_val,slope_pval,subj_id
32,(wfpt.127),0.0,1.1798776500593355e-05,4.0370684304402715e-05,0.7349759946872259,0.8929194833729132,3.3306138009780994e-06,-2.5733987413678605e-05,0.007705108179651312,0.00166435762853804,0.0,1.34143490133328,0.23457531700079257,s453
33,(wfpt.128),0.0,0.00013253513375599546,0.00016070120786704223,0.013110489902691851,1.0370443230624231,0.00017351451149016928,0.00014532259028643413,0.012671738831085752,0.015058559267359713,0.0,1.3468328257884388,0.016917141726684796,s456
34,(wfpt.129),0.0,-6.418391113260924e-06,2.1751597291785885e-05,0.9748612014132486,0.9490873957272461,2.797559617295775e-08,-2.814421203134465e-05,0.005023712980819956,0.00022173416312423733,0.0,1.3577350929431942,0.37955715932033174,s467
35,(wfpt.13),0.0,4.2442083476923465e-05,7.061069549185728e-05,0.004190762865105719,0.6457258470838635,0.00023096749140583128,0.00020280180984988405,0.009382041730862775,0.01981283719210251,0.0,1.2427745953057052,0.11337089109177273,s042
36,(wfpt.130),0.0,-1.926249218353604e-05,8.907858037310312e-06,0.13107681926755588,0.6043055904171059,6.422130651384528e-05,3.6051720951779664e-05,0.0030944380779547613,0.008753918909665223,0.0,1.2548996026409933,0.5738953995227669,s469
37,(wfpt.131),0.0,0.0011044375471614964,0.0011333918809813825,4.904384852810212e-11,0.4204545165999128,0.001276619098730336,0.0012470972725140417,0.03670235260790455,0.036874644191325794,0.0,1.136872058608787,3.9826271235245576e-10,s471
38,(wfpt.132),0.0,-1.80591618192949e-06,2.6363942290719145e-05,0.2230752953825285,0.803109050672333,4.181951490278557e-05,1.3649298250983932e-05,0.005444340353718657,0.008384252435337414,0.0,1.310058469886669,0.3333431755774784,s473
39,(wfpt.133),0.0,0.003403268963702022,0.0034571419693258942,8.77887939347784e-22,0.35037450287178457,0.004972005179865513,0.004918082891087416,0.05806839471604797,0.0682311786160883,0.0,1.070739239105669,1.2073132602280495e-15,s477
40,(wfpt.134),0.0,2.7677632804090635e-05,5.5846660730773934e-05,0.7310306196573382,0.8895301174905285,3.3291702909998833e-06,-2.484371802635721e-05,-0.007882447727880697,-0.002383350648746305,0.0,1.3402215443583088,0.15913020802292888,s481
41,(wfpt.135),0.0,5.158914954939142e-05,7.975750389321856e-05,0.0490514376981715,1.109104306434673,0.00010914466838529702,8.096999861906262e-05,0.009518732684834094,0.012973711237999109,0.0,1.3662592475983983,0.09244321840458856,s484
42,(wfpt.136),0.0,-1.617445285839736e-05,1.2398254203294101e-05,0.5716882751926833,1.1505514518565294,9.27855791377219e-06,-1.972854081122577e-05,-0.0035284582241735143,-0.0022522925287370953,0.0,1.4297465865561791,0.5100762929518529,s489
43,(wfpt.137),0.0,8.014118196142395e-05,0.00010830873199996205,0.08210273049195305,0.8940163244061633,8.515103852069217e-05,5.6982836115992974e-05,0.011075527871484827,0.009754327513351773,0.0,1.3390684661736514,0.049897573327340655,s492
44,(wfpt.138),0.0,0.0003184987693473085,0.0003466596048985471,0.012907573458286008,1.2183618170094648,0.00017424333696081096,0.00014605938328460244,-0.015998400733246612,-0.013697645543262865,0.0,1.4390883992201076,0.000451097659313881,s495
45,(wfpt.139),0.0,3.7174431206654646e-05,6.53431916103342e-05,0.011053877085433803,0.9959044654264922,0.00018212469328326986,0.00015392029047045508,0.008941685779964658,0.018592220750047503,0.0,1.3137736679582683,0.12775322463080438,s500
46,(wfpt.14),0.0,-2.8065289747525313e-05,1.0530844651857052e-07,0.4321346131069902,0.8592739968352598,1.7430735579804235e-05,-1.081576374972748e-05,0.00029935230937953796,0.0044206158603577175,0.0,1.3018568468621088,0.9512471454695246,s049
47,(wfpt.140),0.0,0.00039949939368444376,0.0004276579474636888,0.0003521077588534415,0.700855039782322,0.0003597265531841698,0.00033156370564380033,-0.02213254469746242,-0.022076540989889145,0.0,1.3028052379611086,9.752446650386287e-05,s501
48,(wfpt.141),0.0,-1.804052319398508e-05,1.0129792604396393e-05,0.6579313163334701,0.6791352657109212,5.522802919988301e-06,-2.2647642659912037e-05,-0.0034168732704162245,-0.0029212473499160008,0.0,1.2924642994982947,0.5487372874194612,s502
49,(wfpt.142),0.0,-1.0163974450305702e-05,1.800611946711772e-05,0.07761525851934904,0.8769649730750506,8.772963444259041e-05,5.955991756267931e-05,0.004284880014908799,0.01244761093304852,0.0,1.3185082517323483,0.42400861917052246,s504
50,(wfpt.143),0.0,-1.9232373144273396e-05,8.937976228251543e-06,0.6624156934540579,0.8594667634974394,5.3756551446904055e-06,-2.282736892222914e-05,0.0027963169329704232,0.002340021124982758,0.0,1.3213244654109773,0.5732485434002352,s505
51,(wfpt.144),0.0,7.388445030509505e-05,0.00010166094730645892,1.5485050937081818e-05,0.48036443224315595,0.0005261407065182411,0.0004979777867600843,0.011640066220749977,0.023257849134952123,0.0,1.2086101258554793,0.05574280010992197,s507
52,(wfpt.145),0.0,-1.067527032105886e-05,1.7494837999509905e-05,0.35103458675444443,0.6762125391567971,2.485326905332652e-05,-3.72234810197547e-06,-0.005862049817974515,-0.0045546667077989616,0.0,1.3169796007834045,0.4306653662156411,s508
53,(wfpt.146),0.0,-1.933989740132702e-06,2.6235872340296673e-05,0.9281247262902137,0.8096078596260387,2.2928122767051917e-07,-2.7948457528514936e-05,-0.005434398175749629,0.0005280583223237449,0.0,1.311995890499676,0.33452013385045887,s509
54,(wfpt.147),0.0,-2.7831536163924753e-05,3.3905544538637145e-07,0.9622757647442919,0.9834019592185184,6.304075295116007e-08,-2.8116290747615125e-05,0.0005079282121433445,-0.0001964231406181245,0.0,1.3727233744364589,0.9126417600636443,s510
55,(wfpt.148),0.0,-2.503949138121797e-05,3.1310215767854643e-06,0.1714122690387157,0.799732378039905,5.271313466259642e-05,2.453369865118571e-05,0.0018525509312543372,0.00783093655454141,0.0,1.2984301729496301,0.7388458869943224,s551
56,(wfpt.149),0.0,0.00044166756318086975,0.00046982492909086737,1.290733450946076e-05,0.7992550371337664,0.0005394782138745668,0.0005111287450960678,0.021636428546975513,0.025145584735225827,0.0,1.2033777610878027,4.420934999467133e-05,s556
57,(wfpt.15),0.0,-1.3501847792252164e-05,1.4668340152512727e-05,0.3685865574572227,0.6912556255242444,2.2773856153124328e-05,-5.396103454291534e-06,-0.0036979743631502726,-0.0047062736725082205,0.0,1.3036998009873106,0.47054612233423765,s060
58,(wfpt.16),0.0,0.017703976355375017,0.017731647445367593,5.919728064181735e-108,0.28047802046232906,0.014166638965290912,0.01413776615129625,0.1358536112022198,0.10982215380781518,1.8206157056722195e-247,1.0162079160531832,3.933242046705023e-140,s062
59,(wfpt.17),0.0,2.1232554284100758e-05,4.940176376744265e-05,0.74953841569533,0.9104078638754847,2.871245822544388e-06,-2.5300068056344216e-05,0.005751698708515861,0.0010579430674390157,0.0,1.3595561653029138,0.18541446886662047,s063
60,(wfpt.18),0.0,-1.175216329030171e-05,1.901837586992805e-05,0.03103344915119878,0.9102646200469577,0.00014781939114438813,0.00011604072475512872,0.004093402118868019,0.010866771749324666,0.0,1.2756456702011933,0.43177077581918144,s065
61,(wfpt.19),0.0,-2.4192440974957208e-05,3.978048121799915e-06,8.239003373910738e-05,0.9931869690929829,0.00043717130091680545,0.00040897806944228954,0.0019140095191440298,0.021237256337391115,0.0,1.3262693318179268,0.7070800265866433,s066
62,(wfpt.2),0.0,-2.661324485342398e-05,1.557312436895053e-06,0.005300562115288069,0.8278613641511724,0.00021932132886914868,0.00019111240503111304,-0.0013123734408590382,0.02241112770229466,0.0,1.2541731332771602,0.8141167070289711,s009
63,(wfpt.20),0.0,0.00018897270494144802,0.0002212257139834195,0.006547277591878096,0.6605021921169387,0.00024955610438293085,0.00021580583620739446,0.015254032642237543,0.012052532139083555,0.0,1.2664854585377479,0.008823525663262095,s071
64,(wfpt.21),0.0,2.713187739089573e-05,5.5300920691392363e-05,0.6448474080736246,0.9245156397400534,5.986324583817648e-06,-2.2189664080407567e-05,-0.006502807919578648,-0.0023587383949487204,0.0,1.3564407667256344,0.1611823039933109,s081
65,(wfpt.22),0.0,-2.3574085292521474e-05,4.59638638516946e-06,0.685302494448917,1.1384270240148335,4.629824089885659e-06,-2.3562884401195916e-05,-0.0018446913822191225,0.0023343309720661315,0.0,1.396805707139408,0.6862631427926125,s082
66,(wfpt.23),0.0,7.643820259850553e-05,0.00010421462866028186,0.8038145708910064,0.6807888899717011,1.7410572012988013e-06,-2.647241359610142e-05,-0.010560306182098479,0.0008926793310267874,0.0,1.3025997584591789,0.05275504429389549,s083
67,(wfpt.24),0.0,0.0011174569229557285,0.0011459972396241636,1.0535053113377711e-19,0.526786564813161,0.002354840042869455,0.002326332637452966,0.03372699818252178,0.050095131463472886,0.0,1.1881628211461883,2.3760721895584334e-10,s084
68,(wfpt.25),0.0,5.286446642660536e-06,3.3456105324680685e-05,0.31183801232844016,0.7578074290067656,2.8814995339687677e-05,6.452059148065459e-07,0.0043410764249993475,0.0035451975047152105,0.0,1.3184906287430043,0.27580854636175084,s085
69,(wfpt.26),0.0,6.280615150622282e-06,3.5266780528897534e-05,0.2226564095081863,0.6141987535655945,4.397401179723204e-05,1.4406134982825058e-05,-0.005782491712579629,-0.008986926766058716,0.0,1.2240134707676122,0.27002161088912846,s086
70,(wfpt.27),0.0,-2.275377178140303e-05,5.41667678821689e-06,0.4543129367172949,1.1181635137458703,1.5777728666455104e-05,-1.2402748218676152e-05,0.002879579170796604,0.0039054750826181353,0.0,1.3799603120251287,0.6610265517491338,s089
71,(wfpt.28),0.0,7.021170775278751e-05,9.83795375026908e-05,0.06577355705781923,0.6090018014329964,9.537279988414138e-05,6.72032983289883e-05,0.010073457944942084,0.010094454083987325,0.0,1.2572957194848733,0.06165116670873396,s091
72,(wfpt.29),0.0,-4.257517678185607e-06,2.3521149993599444e-05,0.31787187730710914,0.7126680101794065,2.8109281585919632e-05,-6.449608069836188e-08,0.00875476019032602,0.0030849390819637844,0.0,1.332598449985841,0.35748400663357016,s092
73,(wfpt.3),0.0,9.556867377435996e-05,0.00012455225101792866,0.7818821035100261,0.952596714714992,2.222763793580107e-06,-2.677360519287575e-05,0.010370506650247519,0.0018835928286779033,0.0,1.3590399588530024,0.038179465835793285,s011
74,(wfpt.30),0.0,0.0001611071026874633,0.00018927237193167024,0.024366735536475455,0.8560081225833835,0.00014279408043138542,0.00011462274024442998,-0.015304609500247257,-0.011246140844317399,0.0,1.3486201394101938,0.00953733458349975,s093
75,(wfpt.31),0.0,2.1965796317413577e-06,3.0366325354802548e-05,0.8498950005018158,0.9060441646070193,1.0090136427498564e-06,-2.7162352697729375e-05,0.004684233922369672,-0.0008243184550524494,0.0,1.3597562298260129,0.2991577285050327,s094
76,(wfpt.32),0.0,-2.6738006722926144e-05,1.432554081914894e-06,0.6587269339972421,0.8584746561045822,5.495715804992862e-06,-2.267631778440915e-05,0.0010735832504565061,0.0020276983147108256,0.0,1.3396120928218838,0.8215870915806194,s097
77,(wfpt.33),0.0,0.00011378240635506742,0.00014194900872688265,2.139092056965642e-05,0.9369267898672708,0.0005093055811409286,0.00048111438425435527,0.01160544826643269,0.022605597055282797,0.0,1.3112117846833087,0.02478003692045641,s098
78,(wfpt.34),0.0,-2.8170594735366095e-05,6.425082688110706e-12,0.07212423603814036,0.9139181732096118,9.138924672558169e-05,6.313206561570084e-05,-2.4998880799767358e-06,0.010726015822822173,0.0,1.2930602480283158,0.9996189600257499,s103
79,(wfpt.35),0.0,5.243437985902322e-05,8.060271039289635e-05,0.006690109963839952,0.6449098331271537,0.0002071692810980963,0.0001790029290944517,0.008859564570189287,0.014458921265893198,0.0,1.2623386035898525,0.09073357628564034,s106
80,(wfpt.36),0.0,-2.2179763312868417e-05,5.990669087019285e-06,0.7227176000984916,1.230460218290766,3.5491266033860214e-06,-2.463963874888009e-05,-0.002041607174266678,-0.0015733975525595522,0.0,1.4308710995110676,0.6446948101868599,s108
81,(wfpt.37),0.0,0.0049990079473027915,0.005027437359344744,9.347397762570201e-53,0.314715930587913,0.00666153396670266,0.006633123645628625,0.06572302881360399,0.07485948021002846,0.0,1.0864775397783113,2.974014610410333e-40,s110
82,(wfpt.38),0.0,0.00015775308507970376,0.00018591844880588848,0.05487861499907979,0.8186973883845862,0.00010385862102757493,7.568221441722756e-05,-0.013535992350226112,-0.011726596969193408,0.0,1.3331143555648093,0.010196423742548148,s111
83,(wfpt.39),0.0,0.005299535441503189,0.005327555962209685,3.83931721659257e-30,1.0143901752877116,0.003659470400438014,0.0036314005165219987,0.049389250780989935,0.03800698096458058,0.0,1.3463650928408621,3.8474542382203335e-43,s112
84,(wfpt.4),0.0,0.0013917945617540894,0.0014203270399804069,1.9954957062969918e-28,0.6022984201484394,0.0034898148881487012,0.00346132770410279,0.03993726832913728,0.06652616345064391,0.0,1.1783145352615358,1.7524183891279528e-12,s012
85,(wfpt.40),0.0,-4.107665862784771e-06,2.406225744966406e-05,0.46400820223628725,0.7581903126533998,1.5106272768794504e-05,-1.3065490070074404e-05,0.005390505022747948,0.005540207390225099,0.0,1.2949326139494253,0.35537807820543343,s121
86,(wfpt.41),0.0,0.00023512423568461394,0.00026686381077489774,0.003872881100243423,0.7580012164616944,0.0002648264117496302,0.0002330867719759766,0.013357091959256459,0.011777225287507513,0.0,1.3088352555551908,0.0037384791206291307,s128
87,(wfpt.42),0.0,0.0010617314885229545,0.0010898713873515042,9.864608862472524e-14,0.6046462354323883,0.0015604242833939796,0.0015322770242679473,0.03307853615983626,0.037578408242761985,0.0,1.1979607104452918,4.919841224400585e-10,s129
88,(wfpt.43),0.0,2.6315489757844368e-05,5.44845560558338e-05,0.04143232909950087,0.7677883323786896,0.0001171449312336037,8.897524944551094e-05,0.007624100189602244,0.012832143209567758,0.0,1.2950850087135513,0.16430859437139206,s142
89,(wfpt.44),0.0,8.942373094122935e-06,3.75143625117591e-05,0.30007713514453527,1.087656202354206,3.068581838683304e-05,2.111184462583182e-06,-0.005505434417037179,-0.005105473765731229,0.0,1.4034208432691508,0.2518642100328217,s145
90,(wfpt.45),0.0,-1.792979054049404e-05,1.1057076608977923e-05,0.12662078510150684,1.1120348901607084,6.767225872761351e-05,3.8672742247891634e-05,0.0029685666695020044,0.007658520335326786,0.0,1.387622373874683,0.5368316520300133,s149
91,(wfpt.46),0.0,6.891479709336679e-06,3.506109317796824e-05,0.7894599610465711,0.8931304504390054,2.008460011526658e-06,-2.616208456962532e-05,0.005374417502605188,0.0015872025424120383,0.0,1.3531318327669948,0.2645857890569302,s161
92,(wfpt.47),0.0,-2.7532913014605143e-05,6.376701824351017e-07,0.7976168019191157,0.8123994633632271,1.8525101950217504e-06,-2.6318832383021018e-05,0.0008560184624271291,0.0016199153713067653,0.0,1.3164857191170471,0.8804082796633043,s163
