,index,log_rsq_adj,slope_val,log_rsq,log_slope_val,log_int_val,log_int_pval,slope_pval,log_slope_pval,rsq_adj,int_val,int_pval,rsq,subj_id
33,(wfpt.128),-2.1111688082386948e-05,0.007192558030605129,1.662622918230383e-07,0.0004978526113865959,1.2962980215848612,0.0,0.1442397442046816,0.9295624187556837,2.4089419230599596e-05,0.6828336665353408,0.0,4.536595512671937e-05,s456
34,(wfpt.129),0.0026592451924705163,0.07036217119421846,0.0026800235577448817,0.061114878761483526,1.2190674259040137,0.0,2.1025080517789394e-50,7.473993457259802e-30,0.004612592149035977,0.6250570429061852,0.0,0.004633329818734211,s467
35,(wfpt.13),0.0014214242827129686,0.05352344342857149,0.001442447432162819,0.044398469073234935,1.252269443140098,0.0,2.1164415512639103e-30,1.2294392194551708e-16,0.0027397853135576744,0.6771844112169565,0.0,0.0027607807074542245,s042
36,(wfpt.130),0.019085989706288276,0.1636152684230152,0.019106425840588748,0.16918837594404107,1.090615692644934,0.0,4.993320341253384e-267,2.259429529788573e-203,0.025053096079858617,0.6062184108535468,0.0,0.025073407896853084,s469
37,(wfpt.131),-1.9772214192581572e-05,0.030459837084647744,1.96923663386972e-06,-0.001826018455837533,1.320476495677394,0.0,2.4829179143723877e-09,0.7634485160768126,0.0007508965155479386,0.7496515760495661,0.0,0.0007726197943905833,s471
38,(wfpt.132),0.018195989585884087,0.11119778955600096,0.018216444262240006,0.11352757958425175,1.1550918761743507,0.0,1.5561722106885496e-192,6.556624461714411e-194,0.01806656708205623,0.6084794735041713,0.0,0.018087024454770506,s473
39,(wfpt.133),0.004379292001029156,0.051441332313259695,0.004400034531248376,0.05218204615302516,1.197640690175945,0.0,2.3266438095414324e-47,5.97638554520739e-48,0.004323166725390681,0.5117437965944275,0.0,0.004343910424910891,s477
40,(wfpt.134),2.436593829369116e-06,-0.005147331256585378,2.349050383210205e-05,-0.005304387590472286,1.2979652306847904,0.0,0.27238160602413897,0.2908448744027791,4.310421513054052e-06,0.6780838227235164,0.0,2.5363405567024877e-05,s481
41,(wfpt.135),-2.3772072055283644e-06,-0.000239118686522561,1.8457911913016822e-05,-0.004629878812006123,1.2903142561829446,0.0,0.9594291140195825,0.3465944863956544,-2.0780285900467987e-05,0.6671376215172551,0.0,5.3914401276777824e-08,s484
42,(wfpt.136),0.00020663115411756472,0.023075660584919326,0.00022790380606441119,0.02483061226096947,1.313538607838428,0.0,1.687500734324614e-05,0.0010643543694098733,0.00037256770451654653,0.8547056500853438,0.0,0.0003938368258233904,s489
43,(wfpt.137),8.291982464814218e-05,0.014670897470078704,0.0001039711537325072,0.010993623368073219,1.2801960594985242,0.0,0.001243558359798163,0.026262896435267157,0.0001984013169734622,0.651655540770026,0.0,0.000219450214817285,s492
44,(wfpt.138),6.35690688961521e-05,0.02582431443695542,8.484567018840483e-05,0.010304414412065407,1.3110576467694668,0.0,2.7086596006339983e-09,0.04583810809620506,0.0007313211240361772,0.7688421979255129,0.0,0.0007525826121290713,s495
45,(wfpt.139),0.00018985083990430418,0.02179756165204793,0.00021068065196616637,0.01827847059469661,1.274694430297681,0.0,1.4852712627952895e-05,0.0014721034239267175,0.00036987546472411204,0.6622495607475802,0.0,0.00039070152619480325,s500
46,(wfpt.14),0.00018401857538175026,0.01839700879470224,0.0002048485089516383,0.018321905949407455,1.273907334594188,0.0,0.00014714805672893128,0.0017138772825648753,0.0002793166810036718,0.6648143388949923,0.0,0.00030014462915495255,s049
47,(wfpt.140),0.00010309415591025495,0.018309356272496136,0.00012392577544062533,0.013484045667766896,1.2717072605962942,0.0,0.00023320447787638304,0.01472984825967586,0.0002612848452744343,0.6308425714451779,0.0,0.00028211316909676487,s501
48,(wfpt.141),0.02765113160151733,0.13156429074880033,0.027671602534977024,0.1362145164886,1.117089508748184,0.0,3.539433650061761e-285,8.174884553201006e-292,0.027025752143818527,0.5619335953636366,0.0,0.027046236243438715,s502
49,(wfpt.142),-1.827687058719718e-05,0.0008286837048011447,2.557277558823401e-06,-0.0018378874758592165,1.257372749636939,0.0,0.862401685574498,0.7260782257930599,-2.0208342722538575e-05,0.527470838845153,0.0,6.258456634045118e-07,s504
50,(wfpt.143),-1.9738308885353106e-05,0.011609534777818061,1.0963037714306623e-06,-0.0010813335293684938,1.3061097625749367,0.0,0.008215716198142636,0.8185675006862976,0.00012470411830545203,0.698717804980854,0.0,0.00014553528761895862,s505
51,(wfpt.144),0.02507510762094811,0.1389040980772414,0.025095632787633382,0.13431310242422276,1.124120943362735,0.0,9.20592213757167e-276,1.6686358407718163e-264,0.02613785566222704,0.57573240373434,0.0,0.026158358454798303,s507
52,(wfpt.145),8.244847032323754e-06,0.010599188963310167,2.907887668246456e-05,0.0066022688659360534,1.3122851598126084,0.0,0.030595855360647642,0.23744408697931865,7.657433676788727e-05,0.7726098071336375,0.0,9.740650880607493e-05,s508
