,index,log_int_pval,log_int_val,slope_val,rsq_adj,rsq,log_rsq_adj,int_val,log_slope_val,int_pval,slope_pval,log_rsq,log_slope_pval,subj_id
31,(wfpt.126),0.0,0.5562225643795542,0.5198491093056558,0.4052211950198309,0.40523191194815356,0.40120808605620817,0.03430262760027681,0.5038382998029929,0.0,0.0,0.40121887529410327,0.0,s456
32,(wfpt.127),0.0,1.3417517230587384,-0.020049694560583163,0.0004648940010295588,0.00048063495924943744,0.0008153603910061591,0.6837396316980322,-0.03487030911746704,0.0,3.293446859855887e-08,0.0008310963256111803,3.706541786711532e-13,s467
33,(wfpt.128),0.0,1.0639078546379908,0.17597572684356116,0.041133899424087184,0.04114888194101063,0.03944580025241662,0.520621154872201,0.1744743791285197,0.0,0.0,0.03946080914630168,0.0,s469
34,(wfpt.129),0.0,1.2775208722357223,-0.009972466852742308,0.00019106435274962585,0.0002070615516752694,0.0005552542818861861,0.5286255610741127,-0.017841729586930033,0.0,0.00032126251544004097,0.0005712492366068966,2.2970953383066817e-09,s471
35,(wfpt.13),0.0,1.225636863607559,0.02172592827538622,0.0009684974563408666,0.000984482216137783,4.1154051486969045e-05,0.4375562031666238,0.006279901795865548,0.0,4.298949974532537e-15,5.715902677339013e-05,0.05878988341353107,s042
36,(wfpt.130),0.0,0.9393622214065175,0.2832911034023212,0.246646416108662,0.24665951813798237,0.23341960675785767,0.25706981670934126,0.22380991143309414,0.0,0.0,0.23343295251679297,0.0,s473
37,(wfpt.131),0.0,1.1827970785611819,0.0025531084811249304,5.008348701984744e-06,2.075654932964799e-05,0.0022595987864414413,0.36449676846739976,0.02328090177234819,0.0,0.25095082381735556,0.0022753231198148205,2.7142380857616974e-33,s477
38,(wfpt.132),0.0,1.1972084194437105,0.0533188648933167,0.0033925826385945435,0.0034082774907554514,0.0022645104351419754,0.49353914316444786,0.04752342467913495,0.0,4.542546011854368e-49,0.0022802230524991973,2.198181999576474e-33,s481
39,(wfpt.133),0.0,1.2403089331830996,-0.0018583351237838595,-9.443389551000436e-06,7.085965370468017e-06,0.0008310602378690524,0.5766856492596791,0.020207865597518505,0.0,0.512635048244781,0.0008475940103697122,8.164244802426416e-13,s484
40,(wfpt.134),0.0,1.1037402358472927,0.10948815251793609,0.04069893675932068,0.040714793237332514,0.050367260327023766,0.5246703716752947,0.1278773265853121,0.0,0.0,0.050383178271635964,0.0,s489
41,(wfpt.135),0.0,1.2556400014195261,0.022752555946829355,0.0010359683254560492,0.0010517002902378225,0.0004837222613169878,0.6056060800002199,0.019416652020942695,0.0,2.9814761728457575e-16,0.000499465154335299,1.782425893057906e-08,s492
42,(wfpt.136),0.0,1.2171425402680662,0.054846890813230124,0.005253329906456328,0.005269504912067791,0.005716813005447685,0.6548118221736626,0.06589205015705833,0.0,1.2292300853558576e-72,0.005732980474626115,7.045122206722078e-79,s495
43,(wfpt.137),0.0,1.234963279926437,0.019598343206952844,0.000651524682913851,0.0006671397468260842,0.0003531473248427064,0.5150677566832883,0.016873673746060833,0.0,6.350234923758918e-11,0.00036876875959512834,1.1846128080953424e-06,s500
44,(wfpt.138),0.0,1.1547562102995295,0.0258851795415091,0.0016237529337810308,0.0016397272093225945,0.005183167478392869,0.3607772253251918,0.04184858492637914,0.0,4.1787338214188766e-24,0.005199126167975687,1.218584997450029e-72,s501
45,(wfpt.139),0.0,0.7554982486056394,0.37416899845629153,0.20765793894335993,0.20767031948150994,0.20717822061773483,0.17888863191226187,0.36236516171452626,0.0,0.0,0.2071906088451697,0.0,s502
46,(wfpt.14),0.0,1.1483761710329374,0.051921669004929935,0.0036295311759824145,0.003645099707816124,0.007126609187041555,0.44582258562921984,0.06940179904535396,0.0,9.283379673691511e-53,0.007142131079778458,1.028537179690025e-101,s049
47,(wfpt.140),0.0,1.1536065554894062,0.06848342315578514,0.004533200721671737,0.004548755133448212,0.00247477352432246,0.367714439551184,0.05416293876933651,0.0,2.0427994620508513e-65,0.002490360099526412,1.4007949580511692e-36,s504
48,(wfpt.141),0.0,1.13918763142032,0.024452911935996007,0.0008799448232863494,0.0008963241090972351,0.0014435977371572983,0.26614300235548616,0.030656040635256575,0.0,1.4054588028641664e-13,0.0014599707351612423,3.746750815589945e-21,s505
49,(wfpt.142),0.0,1.1968807626323918,0.0527637124030238,0.0030771584396170892,0.0030927356024097463,0.0014427723256903446,0.45126401379932424,0.03842728638819986,0.0,5.0723647103067154e-45,0.0014583750261650819,4.271473897003187e-22,s507
50,(wfpt.143),0.0,1.2259133416212467,0.010456512054766571,0.00014686389566820335,0.00016260986231508845,0.0001809534498917742,0.4554857417320757,0.011041099424861808,0.0,0.0013115784891521663,0.00019669887968676303,0.00040889193130387965,s508
