,index,slope_val,log_int_pval,log_rsq_adj,log_slope_val,rsq,log_rsq,log_int_val,slope_pval,log_slope_pval,int_val,int_pval,rsq_adj,subj_id
51,(wfpt.144),0.04283905699015253,0.0,0.0007085499774076576,0.03368326418648543,0.001616049148369214,0.0007224292180919578,1.2542065531645359,3.7964856793346054e-27,5.460641503912878e-13,0.6369931043119381,0.0,0.0016021823194176665,s507
52,(wfpt.145),-0.0012363232834072006,0.0,-1.0881111508265207e-05,0.0018147749328930596,1.427166726353235e-06,3.0081214131838507e-06,1.2426778103624978,0.7485511887096858,0.6416601211161692,0.4848380616258869,0.0,-1.246208815341987e-05,s508
53,(wfpt.146),0.05843465422477675,0.0,0.0025295021795619377,0.053611074336315956,0.003820400569755522,0.002543356128892116,1.2226589569503272,6.878582858209593e-62,9.001895862487511e-42,0.6053554117739519,0.0,0.0038065643576463692,s509
54,(wfpt.147),0.13420241489870516,0.0,0.009528589859131742,0.1122529630261502,0.01916905882313491,0.009542442799874262,1.1701366994647544,6.803317618402443e-303,4.176867458105928e-151,0.6457337033092665,0.0,0.019155340524144915,s510
55,(wfpt.148),0.05903542413151967,0.0,0.00506593239815778,0.060330876990014354,0.005058770385620193,0.005079751118801212,1.1931126507256713,2.136440344152258e-81,9.97951272357814e-82,0.5281755688130115,0.0,0.005044951373569639,s551
56,(wfpt.149),0.11635036525295658,0.0,0.011127095438636214,0.11545979231599608,0.014410412871385114,0.011140829975290423,1.171702791317578,2.8818105596386926e-229,1.9687039564022025e-177,0.6785997369175303,0.0,0.014396723746865958,s556
57,(wfpt.15),0.017294147520464473,0.0,4.230038447627926e-06,0.007259055874968959,0.00014523625866047496,1.811906148918574e-05,1.261511451226057,0.001221586358495559,0.2533857940592434,0.5611387887677245,0.0,0.0001313490011846108,s060
58,(wfpt.16),0.03783005766907052,0.0,0.0015205760231531418,0.04060282364166875,0.002036263919391823,0.0015344439855412562,1.2480020228055255,8.87578819148851e-34,7.38388472467083e-26,0.656120337009791,0.0,0.002022402926918576,s062
59,(wfpt.17),0.05644415404341828,0.0,0.004527073172087226,0.056883929798478894,0.0045127945423528715,0.004540899376990537,1.2110523071895518,8.536371678689206e-73,3.0799204891698904e-73,0.5775629445673098,0.0,0.004498967947093813,s063
60,(wfpt.18),0.025482285948172374,0.0,0.00020214777796523364,0.015366167320053803,0.0007353942933069346,0.0002164308084687816,1.2766812094948403,7.179068826645223e-13,9.92323219480761e-05,0.6514970843434589,0.0,0.0007211186767792643,s065
61,(wfpt.19),0.07306073626707763,0.0,0.003397131157738764,0.07528811068364388,0.004399438557302404,0.003410973056499067,1.1899880630669524,5.2110177999840565e-71,1.9329238292480418e-55,0.5793986613645729,0.0,0.004385610387610872,s066
62,(wfpt.2),0.028840806410410137,0.0,0.0006745341387514037,0.02874543151528486,0.0007882355861985602,0.0006884138518844507,1.2238024892652477,4.890443222891558e-14,1.90334225727958e-12,0.5158216356322104,0.0,0.0007743572595170223,s009
63,(wfpt.20),-0.03462280393936601,0.0,0.0006067611978187726,-0.0301513326825451,0.000955522568794942,0.0006207389211269065,1.3185773385949047,1.368958620085983e-16,2.683632450632735e-11,0.6329541529984379,0.0,0.0009415495279065933,s071
64,(wfpt.21),0.04934460020861299,0.0,0.0014957897041110169,0.04975677702414616,0.0019215059502394327,0.001509658010758308,1.2368271720146704,5.732377621716251e-32,1.8191065346560379e-25,0.6462783162161105,0.0,0.0019076433638612889,s081
65,(wfpt.22),0.07589621817771777,0.0,0.004208613886168,0.07295347315936808,0.005604704869174304,0.004222444514178414,1.1768884017844816,5.328057023060856e-90,3.1982895077572362e-68,0.5194427504485235,0.0,0.005590893439757716,s082
66,(wfpt.23),0.2499010779974029,0.0,0.11597984930622907,0.2091619133726682,0.12152495481323666,0.115992196646174,0.9278384310181885,0.0,0.0,0.22342960341040796,0.0,0.12151275343201506,s083
67,(wfpt.24),0.04966680345520981,0.0,0.00046677244909065774,0.03678369607578058,0.0013576475090549822,0.0004806550478427818,1.2370141164690556,4.5967030384802255e-23,4.0194657855602454e-09,0.5921285412249692,0.0,0.0013437770910920133,s084
68,(wfpt.25),0.03686456517799996,0.0,0.0005782588341557426,0.028775266356202214,0.0012549981872070903,0.0005921398844643821,1.2355561555215115,1.932452292085059e-21,6.562464647964126e-11,0.5498848325010117,0.0,0.001241126343519472,s085
69,(wfpt.26),-0.004844238970529827,0.0,-1.4163932169131144e-05,-0.00015088292640363932,2.2854219312806734e-05,2.086710360060806e-08,1.293728856884945,0.2043254849340149,0.969404923952267,0.6673568102701788,0.0,8.669743926659201e-06,s086
70,(wfpt.27),0.0851046980129022,0.0,0.002247676693955203,0.07707290685158749,0.004231105815536096,0.0022615345575826007,1.205758063557374,2.3360851265248617e-68,2.4900321386093084e-37,0.6406372401548929,0.0,0.004217275307824897,s089
71,(wfpt.28),0.03734434078682213,0.0,0.0005720689260935163,0.03252621910397202,0.0009700574382709437,0.0005859500623742742,1.2265077850052561,6.316473831610864e-17,8.242934232039556e-11,0.5372062091651479,0.0,0.0009561816369630938,s091
72,(wfpt.29),0.03877295813175767,0.0,0.0005794194015829035,0.02840202019046234,0.0012859414715612472,0.0005933004357723259,1.2434985891240886,6.259528956306664e-22,6.287886765458866e-11,0.5771788283706106,0.0,0.0012720700576535071,s092
73,(wfpt.3),0.08200057621454429,0.0,0.003888861277248079,0.07552849087487556,0.005968947294697213,0.0039026963463285602,1.1817760877142112,9.664706124862786e-96,3.477684718522535e-63,0.54645583285091,0.0,0.005955140924343683,s011
