,index,rsq_adj,log_slope_val,log_rsq,int_val,slope_val,log_int_pval,int_pval,slope_pval,rsq,log_int_val,log_rsq_adj,log_slope_pval,subj_id
28,(wfpt.123),3.207222242851415e-05,-0.007921982573060406,3.817531008598607e-05,0.48314067568216873,-0.007219635703016557,0.0,0.0,0.02766794074394259,4.04053579361463e-05,1.254424811632695,2.984215599433071e-05,0.03232779202551774,s430
29,(wfpt.124),4.3238396639777577e-05,0.005529253305701115,1.3797967745032835e-05,0.49262725047806966,0.00924447008404757,0.0,0.0,0.012857562208228106,5.157143909517714e-05,1.2426448142510065,5.464610505545586e-06,0.19818042405165362,s441
30,(wfpt.125),7.611760813319712e-06,0.004378940505450266,1.40711750021838e-05,0.6539118936912689,0.003995827323154506,0.0,0.0,0.16658746457213525,1.5945100159786563e-05,1.289310551882427,5.7378200394309076e-06,0.1937964839676047,s449
31,(wfpt.126),-8.362866434019622e-06,-0.00035740628495490624,1.0895421631573754e-07,0.806858302987466,7.048600766902647e-05,0.0,0.0,0.9795947962578571,5.4744129229789e-09,1.335459630592216,-8.259385764652905e-06,0.9091552318230778,s451
32,(wfpt.127),0.002425778259740441,0.04419433700948203,0.0021929823673252358,0.6831555853038319,0.043745771811257037,0.0,0.0,5.6535078599148804e-64,0.002434304608014748,1.253414847694087,0.0021844539564324084,8.318093808171074e-58,s453
33,(wfpt.128),-4.1473204417386e-06,-0.0030932713437433444,7.525173260747309e-06,0.6415849324441731,-0.002213009842810888,0.0,0.0,0.47757392465144055,4.220985128200461e-06,1.2854603706534644,-8.431046587542568e-07,0.3429848320981591,s456
34,(wfpt.13),0.0008290921003922813,0.02395436819415253,0.00042517177595169375,0.5005944071494254,0.027738522176051043,0.0,0.0,1.1660325315735775e-23,0.000837418594012207,1.2244517845985359,0.00041684184688439707,9.094652169325529e-13,s042
35,(wfpt.14),3.547920091906409e-05,0.008882499909861188,3.9373782906748644e-05,0.5220141989948215,0.00871006540772945,0.0,0.0,0.022302851592576417,4.388233473351377e-05,1.2451719943383859,3.097061120460598e-05,0.030418670688047773,s049
36,(wfpt.15),0.0005198817104269393,0.026374366914583836,0.00030092576617057887,0.5236820204568133,0.03027111694004587,0.0,0.0,1.686564325243629e-15,0.0005282107808215475,1.227864278986982,0.0002925948017026281,1.8593563914021635e-09,s060
37,(wfpt.16),-7.270287263994035e-06,-0.003751812183515512,9.630487028400303e-06,0.7857680943036154,0.0012877133688838378,0.0,0.0,0.6822853781929251,1.4634769635035738e-06,1.3290562184312207,8.967178508623164e-07,0.29368256747885285,s062
