,index,log_slope_val,slope_val,log_slope_pval,log_rsq_adj,rsq,slope_pval,int_pval,rsq_adj,log_int_val,int_val,log_rsq,log_int_pval,subj_id
25,(wfpt.120),0.0007621066208553448,0.004114995184766988,0.8102365885804249,-4.519667246016823e-06,1.0882457413874391e-05,0.13198695686291498,0.0,6.086300532115452e-06,1.2711794220174417,0.5839375279549457,2.7654050394065877e-07,0.0,s421
26,(wfpt.121),0.0472373266237809,0.04894138194158265,3.176452063917862e-55,0.0011613002616680523,0.0015000749623484966,1.5700187220334572e-70,0.0,0.0014953201555168993,1.207257009532258,0.5332759247228167,0.0011660566590782073,0.0,s425
27,(wfpt.122),0.0023203501531063736,0.004114648943923256,0.44200000124649863,-1.951865702842781e-06,1.260250317425271e-05,0.10418980075086691,0.0,7.829248071633543e-06,1.2906682162309728,0.6499732144740695,2.8214360878742184e-06,0.0,s427
28,(wfpt.123),0.02826468881168235,0.03418434282624075,1.8896417197061011e-13,0.000255337464827865,0.0005400582714262248,2.978128710742972e-26,0.0,0.0005352531293492113,1.2301883008116614,0.536419848936575,0.00026014395265971935,0.0,s430
29,(wfpt.124),0.014451336773714145,0.024522931743317055,5.283216844885539e-11,0.0002017566869217946,0.0007039622868763029,8.565542403421921e-34,0.0,0.0006991694541502724,1.233895524574637,0.5066289239549948,0.00020655197432928318,0.0,s441
30,(wfpt.125),0.006442197627499317,0.005636348399654328,0.021456147369656415,2.128719103722254e-05,2.5747295811839876e-05,0.022742295222178566,0.0,2.078459517618203e-05,1.2934475269819536,0.6766166721955109,2.624988917865334e-05,0.0,s449
31,(wfpt.126),0.004187972621913477,0.004732523291745333,0.21386588397191364,2.5955842636316007e-06,1.196369630895866e-05,0.11295656248880451,0.0,7.201803165712839e-06,1.2490489356573953,0.5089566272653487,7.357499341331675e-06,0.0,s451
32,(wfpt.127),-0.00242864468749264,-0.0007818611182064871,0.49147533195985593,-2.7432689826412116e-06,3.552998173450561e-07,0.7939511966776807,0.0,-4.853085919576117e-06,1.2789881260177052,0.5887642792080037,2.4651057656255304e-06,0.0,s453
33,(wfpt.128),0.030739399290776945,0.0323265078384978,1.0378222982368249e-14,0.0002800737584942592,0.00045615352537342613,1.26266787338953e-22,0.0,0.0004513937474399654,1.200527986844816,0.4410327291745763,0.0002848343522410257,0.0,s456
34,(wfpt.129),0.011946553722109007,0.010282047630110976,0.00014410866438678313,6.449589440105097e-05,7.284312794386683e-05,9.731148988729398e-05,0.0,6.804726823839147e-05,1.2344442275537282,0.493740931885271,6.929177113956797e-05,0.0,s467
35,(wfpt.13),0.00654481610778726,0.006715569739626323,0.013039973638981014,2.4706609950908565e-05,4.185411518453641e-05,0.00310011736690075,0.0,3.706958066318489e-05,1.235649212167902,0.4819436008889093,2.9491203625497953e-05,0.0,s042
36,(wfpt.130),0.034121559826640974,0.040130378377926976,2.2449115185844463e-51,0.0010799044828377902,0.0016777992913209472,1.727245546674233e-78,0.0,0.0016730339847275122,1.1874486351458302,0.4132023270802473,0.0010846726206118484,0.0,s469
37,(wfpt.131),0.0035140871563528603,0.0026584511750305344,0.1667589986074316,4.362957815695623e-06,5.578052790111698e-06,0.2802654283956763,0.0,7.933446974917047e-07,1.22398736276988,0.4411015460523194,9.147671722109507e-06,0.0,s471
38,(wfpt.132),0.04025307974791204,0.044632273444991134,3.036547307073647e-40,0.0008346620412308381,0.001400709138254741,5.602765725606221e-66,0.0,0.001395953858247978,1.230449155563263,0.5885318471787087,0.0008394199940684466,0.0,s473
39,(wfpt.133),0.007465965117167579,0.010442950451556781,0.005596973333736763,3.2327838308088275e-05,9.231677923282611e-05,1.2640276965391859e-05,0.0,8.747456437740997e-05,1.2383095862309885,0.4928337540486618,3.7170343669679085e-05,0.0,s477
40,(wfpt.134),0.004693998741273436,0.005399809415318817,0.06616246080816542,1.1340189128627998e-05,2.021101931182212e-05,0.039617271209277306,0.0,1.543780052704058e-05,1.2676584751916136,0.5735014653817362,1.611342747254163e-05,0.0,s481
41,(wfpt.135),0.041544814687765115,0.038967010894775486,7.115785457474108e-46,0.00095737601669732,0.0010762926630047964,4.140648694373268e-51,0.0,0.0010715358381430118,1.2195044532709136,0.5572795612554509,0.0009621333851799196,0.0,s484
42,(wfpt.136),0.014184482754576266,0.014837829053841966,3.8958426117848745e-05,7.581457818683912e-05,0.00011259670320129533,1.1576482731369373e-06,0.0,0.00010783528926738839,1.2372775383113854,0.5131865937145605,8.057614460099671e-05,0.0,s489
43,(wfpt.137),0.011905190049232529,0.015388886223961593,6.1492827812436506e-06,9.460090022017642e-05,0.00018386096155720288,7.892842799922991e-10,0.0,0.00017899562885781428,1.2272037560966365,0.46635563939466457,9.946664360149793e-05,0.0,s492
44,(wfpt.138),0.010009615584359602,0.012423249849342814,0.0003000452373432632,5.761294903539049e-05,0.00012203597608817507,4.2710945192628943e-07,0.0,0.00011726324334593308,1.245411795476072,0.5171453007188,6.238596650587347e-05,0.0,s495
45,(wfpt.139),0.0796852242730824,0.07715005993662144,1.2855430567563575e-104,0.0022556229161484476,0.0029128298303400246,2.7503702357839654e-134,0.0,0.002908047591804519,1.147285387798418,0.4471673100943944,0.0022604082838341144,0.0,s500
