,index,rsq_adj,log_slope_pval,int_val,log_rsq,rsq,slope_val,log_slope_val,slope_pval,log_int_pval,int_pval,log_rsq_adj,log_int_val,subj_id
12,(wfpt.109),0.004884102299839044,4.6480243481025455e-120,0.8170368396331236,0.01137902395883239,0.004905052549269651,0.06605063830897825,0.10192297076099656,1.002201936448557e-52,0.0,0.0,0.011358180168487997,1.190017631203435,s383
13,(wfpt.11),0.0007663781883011644,0.03530138543697462,0.6406565390425389,9.327503662803771e-05,0.000787415128485458,0.02439094025762425,0.008362252811828307,9.548577602986952e-10,0.0,0.0,7.222348235280673e-05,1.2812145208574812,s032
14,(wfpt.110),-1.5869879976371237e-05,0.02158028382518151,0.620742775382848,0.00010998991242650025,4.9642180229847455e-06,-0.0022305651636131234,-0.009992999941822256,0.6254579448098623,0.0,0.0,8.915713448476303e-05,1.2920955298009846,s384
15,(wfpt.111),0.0016953349578476828,0.06110324321533114,0.8881334385664748,7.551383434301062e-05,0.0017168043370824337,0.03220780519743242,0.007018256861793408,3.947022002687519e-19,0.0,0.0,5.398369016262894e-05,1.3452209897308505,s388
16,(wfpt.112),0.00014216410912937238,7.119392778054351e-14,0.6625762638276341,0.0011684288818009092,0.00016299491468541039,0.011088193206535917,0.028385546485969543,0.005155736177302727,0.0,0.0,0.001147589499970736,1.2425748914623882,s391
17,(wfpt.113),0.006567063684453367,2.3603108737963364e-29,0.6656464691002292,0.0026328188023719834,0.0065877606351463225,0.06061221927266227,0.036736204213047505,5.776015042051357e-71,0.0,0.0,0.0026120377217953017,1.2604724084677281,s396
18,(wfpt.114),6.777255592615994e-06,0.3169271020829947,0.7482969819602248,2.087680825346716e-05,2.761088176694848e-05,0.004902701840478455,-0.004750648508441585,0.24964815134594143,0.0,0.0,3.3488193551534096e-08,1.3133676664054754,s397
19,(wfpt.115),0.00028963476127030763,2.3972594585387483e-12,0.8537123150646093,0.0010250047217084113,0.0003104624944570977,0.014981641744191117,0.024806925865053422,0.00011313862830685396,0.0,0.0,0.001004151905875772,1.2978113891670655,s402
20,(wfpt.116),0.00029490225695527617,0.0015875062216559022,0.8011582128555367,0.00020797963438101696,0.00031572988040029504,0.014979395901783312,0.011797011529219605,9.894983328099576e-05,0.0,0.0,0.00018713021890415238,1.3112684060446413,s403
21,(wfpt.117),0.0023493777627845436,3.3519914208158346e-46,0.6567640032968893,0.004449868019560932,0.0023710662912794778,0.04213886931873293,0.05394667175336007,1.4725705224206224e-25,0.0,0.0,0.0044280654237048855,1.1805460927350138,s408
22,(wfpt.118),4.14199838093543e-05,0.38946478174486476,0.9613656209374404,1.5787649526699532e-05,6.269615096221592e-05,-0.006444941177922779,-0.0031146887572770644,0.08605552223468065,0.0,0.0,-5.528975835167316e-06,1.3658976130257932,s409
23,(wfpt.119),-1.9807865833110228e-05,0.7948102211341924,0.8085103180556511,1.4241118936331176e-06,1.245625984913623e-06,0.0009989590868095045,-0.001122335143800028,0.8078219346664377,0.0,0.0,-1.9631149316134966e-05,1.3312181364801918,s420
24,(wfpt.12),4.064434081973989e-05,0.9597559570767469,0.7252019920371335,5.481522691308527e-08,6.214930556425191e-05,-0.006956720024150161,-0.00019482908736987784,0.08913772285531522,0.0,0.0,-2.1473245421566034e-05,1.2963926681208973,s034
25,(wfpt.120),0.0002759587615991377,0.25702301623712087,0.9671360148385538,2.764616843220491e-05,0.00029745866570962676,0.012818740808291682,0.003703741277017244,0.00019978104936139095,0.0,0.0,6.12750361983494e-06,1.3696784414713947,s421
26,(wfpt.121),-9.530545192815154e-06,0.07610887081367029,1.105708899099125,6.55599489963743e-05,1.1303420734298797e-05,-0.003160468980472233,-0.008637621895931522,0.4613823819750297,0.0,0.0,4.472233797570002e-05,1.4099641217099763,s425
27,(wfpt.122),3.1195774479853e-05,0.92349707819203,0.7311911508469722,1.941917276981897e-07,5.224819251448132e-05,-0.006476015513354294,-0.00036642647634947965,0.11517599103190829,0.0,0.0,-2.086375566556775e-05,1.3056383120084727,s427
28,(wfpt.123),-1.931281681888386e-05,0.0029557128166190784,0.8871654482595217,0.00018433497238545815,1.52135290987232e-06,-0.0009731349306138183,0.010711418000164567,0.7869876713827039,0.0,0.0,0.00016347201169808478,1.3270698344537657,s430
29,(wfpt.124),0.029572605393742957,0.0,0.5274136434595514,0.03547908435106373,0.029594170926190544,0.12470002389767242,0.13926707515068368,6.366375789881087e-296,0.0,0.0,0.03545739022340644,1.070747400739396,s441
30,(wfpt.125),4.521734752849227e-05,1.7437122141154212e-05,0.6505664476205758,0.0003843564594858684,6.605017285088444e-05,-0.0074548792605334735,-0.016411606097568105,0.0749864729881139,0.0,0.0,0.0003635289640478989,1.30829834138475,s449
31,(wfpt.126),-1.1778092628977888e-05,0.13512054004716748,0.6652058801212065,4.6518119310001715e-05,9.055920123013372e-06,0.003089918026257863,0.007508415336477792,0.5097094700789645,0.0,0.0,2.5683584840119345e-05,1.2791849456818267,s451
32,(wfpt.127),0.045065535125624834,0.0,0.46701716290490713,0.0617385886057662,0.04508563943234445,0.19203022026111874,0.21606809579075498,0.0,0.0,0.0,0.061718819502473043,0.985295061631961,s453
33,(wfpt.128),0.002513857097684924,4.355317969876943e-49,0.538917965548613,0.004509397732369025,0.0025346384919410214,0.04655253407205695,0.059995473842228864,2.539417389458324e-28,0.0,0.0,0.004488651861737303,1.178067766527876,s456
34,(wfpt.129),0.016232421876704817,1.1975659654240509e-260,0.502440455796909,0.024764861783459158,0.01625313320911448,0.11940413574052303,0.13903635870533645,2.7832208927412967e-171,0.0,0.0,0.024744301516594014,1.0724500066351401,s467
35,(wfpt.13),6.5742697840098785e-06,2.9169036587334983e-10,0.6793389458465677,0.0008277944764122358,2.740790018729289e-05,0.0045054321158,0.023974925746087165,0.2513960853974492,0.0,0.0,0.0008069675414352773,1.2602709101869864,s042
36,(wfpt.130),-1.732172544799404e-05,0.9962472011735819,0.8249603677791133,4.610052339870663e-10,3.5124027988331363e-06,-0.0014912656086396815,1.7563462449243932e-05,0.6813707850451821,0.0,0.0,-2.083808195418868e-05,1.3352906289635094,s469
37,(wfpt.131),0.013883823589325606,7.435224385166808e-220,0.4271287167241889,0.02157193522161538,0.013905261363546972,0.10699597329852656,0.1149166857040735,4.29684768638595e-142,0.0,0.0,0.021550635411776153,1.0821972451550779,s471
38,(wfpt.132),0.00033644337109195455,0.2626291396261999,0.776087881551722,2.614798032174459e-05,0.00035727012907904587,0.016229041894110757,0.004809490203327477,3.4520271674815546e-05,0.0,0.0,5.31085066945991e-06,1.317498480808913,s473
39,(wfpt.133),0.00011915470603751643,0.07975151034049706,0.5029520366390942,6.395875344356039e-05,0.0001399859909660961,-0.012210829313773423,-0.00835715889300873,0.009536714325224918,0.0,0.0,4.312588454813415e-05,1.2513066525180365,s477
40,(wfpt.134),0.00020076422171722008,0.5669480441653325,0.6371468715654144,6.8299712084884945e-06,0.00022159380641217918,-0.01432271403122716,-0.002427139747800311,0.001108397099214855,0.0,0.0,-1.4004521989408047e-05,1.2846879464607999,s481
41,(wfpt.135),0.012138012727498482,7.413178829789308e-100,0.09024180927232346,0.00954450314921551,0.012159031514861529,0.0983006792953111,0.07971167865343638,4.7130639934910125e-127,0.0,1.8806204764605506e-104,0.009523392347227877,1.0000822782379792,s484
42,(wfpt.136),0.0003433194620119373,1.7636096285727363e-13,0.7504560498581705,0.0011301166292918552,0.0003641460767441762,0.01794819213243123,0.03424774635879872,2.90149973712616e-05,0.0,0.0,0.001109297731787251,1.2605646384324345,s489
43,(wfpt.137),-1.4309808850532235e-05,0.02008581748884982,0.5674551918789043,0.00011378157729291516,6.743567216638269e-06,0.0026141764898010983,0.010485196624308364,0.5714252112088274,0.0,0.0,9.272956831496426e-05,1.24012014606349,s492
44,(wfpt.138),-2.665125588219297e-06,0.8791925695731222,0.9671590603071454,5.142938496183191e-07,1.9557649698520585e-05,0.0039553191694174095,0.0006878627814769186,0.3481869038433041,0.0,0.0,-2.1747493454515876e-05,1.3518664572789802,s495
45,(wfpt.139),0.00015881659506244983,3.925141114349555e-08,0.9494451157015826,0.0006294986218090548,0.00017964705368445077,0.012328959343950781,0.022873442917533418,0.0033187471606902527,0.0,0.0,0.0006086514754664041,1.3220318599731213,s500
46,(wfpt.14),0.00011546333863554636,0.05660110510019095,0.7895862358223172,7.817618555394645e-05,0.000136966694334828,0.01096949755886961,0.009136592979541277,0.011612807143953777,0.0,0.0,5.66664769513503e-05,1.3078973902737747,s049
47,(wfpt.140),5.5313093516695666e-05,6.174318108472564e-08,0.8144768043523295,0.000617305489517106,7.636500380769906e-05,0.007450963721622249,0.020749373906856928,0.056839460004558535,0.0,0.0,0.0005962494522984141,1.2997422389404405,s501
48,(wfpt.141),0.00010255588688445894,0.033068837938844804,0.8065556801639153,9.465155374288603e-05,0.00012338751762897004,-0.010760624119783707,-0.010074678829573523,0.014947394416083117,0.0,0.0,7.381454896149275e-05,1.3335267968584517,s502
49,(wfpt.142),-1.9627433560653884e-06,0.40415895103670285,0.921910736265284,1.4511020159591048e-05,1.8871064905390256e-05,0.004071631597680265,0.0034553444898184397,0.3412385968692786,0.0,0.0,-6.340255727321775e-06,1.3454516600431716,s504
50,(wfpt.143),0.007425480331160084,5.341320335798056e-121,0.40879751187222846,0.011335976176918505,0.007446159397800356,0.0759041512415217,0.08964750579387606,5.311145888520383e-80,0.0,0.0,0.011315374717784987,1.114117697841884,s505
