,index,rsq,log_slope_pval,log_rsq_adj,rsq_adj,log_rsq,log_slope_val,log_int_val,slope_pval,log_int_pval,slope_val,int_pval,int_val,subj_id
100,(wfpt.54),4.372698073407122e-06,0.8837134934107719,-2.7579577069225536e-05,-2.3797779905798677e-05,6.029158734488504e-07,0.0008225928803995419,1.3273831874740623,0.6935958531715838,0.0,-0.0021514703391395896,0.0,0.8843168523352044,s182
101,(wfpt.55),0.00022066890509420123,3.535117792048974e-06,0.0005873289756498368,0.0001921021489624808,0.0006159670830205854,0.028638243639535987,1.2450132465942831,0.005450021910549833,0.0,0.015167590775029232,0.0,0.819187184547752,s184
102,(wfpt.56),2.7578324838239965e-06,0.8035711215913193,-2.6427736174339245e-05,-2.5412690987103304e-05,1.74281589016001e-06,-0.0013252550616823858,1.3483485203305678,0.754368919971298,0.0,-0.0016206617798355143,0.0,0.8706302742672435,s187
103,(wfpt.57),0.00020332619786922468,0.07408413759306123,6.169876513562045e-05,0.00017516132452977118,8.986762820506478e-05,-0.008531587006006109,1.3766233470470035,0.007216379573084963,0.0,-0.012814407088089216,0.0,0.9543590006088286,s190
104,(wfpt.58),0.00024753554454914894,0.13044858262125544,3.626270718848357e-05,0.00021937191661358657,6.443308038328599e-05,0.005623382616782802,1.3436910065665217,0.0030322170425735855,0.0,0.011379597684704236,0.0,0.8655482266045416,s192
105,(wfpt.59),4.3069888560842706e-05,0.01022552876493681,0.00015819837025121686,1.4900500704850828e-05,0.00018646884277151443,0.012950312308347697,1.3771220612646946,0.2162766646620196,0.0,0.006567631268057366,0.0,1.2292658309035833,s196
106,(wfpt.6),0.0001443101041013195,0.001340445994704641,0.00026156935200494225,0.0001161435682430767,0.0002897325845997445,0.018785666180040187,1.248125074640605,0.023610525460374978,0.0,0.012585168978379746,0.0,0.638798756078006,s015
107,(wfpt.60),2.3545169107630493e-05,0.1634425664916255,2.737505847594246e-05,-5.441336047296019e-06,5.6430515964822625e-05,0.009053580032324177,1.2752221896868168,0.36745320844336016,0.0,0.004764251228109546,0.0,0.8583067139035095,s198
108,(wfpt.61),5.532783667883123e-07,0.904367795987151,-2.776550663075028e-05,-2.761730720779454e-05,4.066703280791728e-07,0.000852091356090494,1.307065889738434,0.8885471650993195,0.0,-0.0008577449642338861,0.0,0.7814596792231026,s205
109,(wfpt.62),6.041997802852528e-05,0.04241885574944047,8.789773570061499e-05,3.225107893500834e-05,0.00011608173993604698,-0.012843619751304413,1.3342610916940227,0.14305153703260015,0.0,-0.008096400293718792,0.0,0.8375436528298089,s206
110,(wfpt.63),8.545771535084512e-06,0.4202402972896959,-9.869157673314533e-06,-1.9624588886157923e-05,1.8300927939196576e-05,0.004897300530023806,1.2969434682143237,0.5817868529925667,0.0,0.0029768132022945783,0.0,0.6965739059347523,s207
111,(wfpt.64),3.333164980889869e-05,0.028223104226859887,0.0001074834213931064,5.161987620794228e-06,0.00013565893189193545,0.013133262047031136,1.3125251019246345,0.2767034793565238,0.0,-0.0057332086886305615,0.0,0.8692752327173454,s209
