,index,int_val,slope_pval,log_slope_val,log_slope_pval,rsq,rsq_adj,log_rsq_adj,log_int_val,log_int_pval,int_pval,log_rsq,slope_val,subj_id
133,(wfpt.83),0.5645872166760934,0.49269908504529514,-0.002105636072738412,0.6089548893365695,6.275209639694523e-06,-7.058395586900801e-06,-9.844203858522249e-06,1.2675443735716905,0.0,0.0,3.48943851280481e-06,-0.002688482536263399,s286
134,(wfpt.84),0.5663421211274683,0.5909412734415636,0.0029061245561090177,0.5601723348454796,4.1566400399428716e-06,-1.0232203428328646e-05,-9.505130788012295e-06,1.2579796448929232,0.0,0.0,4.883702218627661e-06,0.0024125584640443186,s291
135,(wfpt.85),0.42711366885356616,0.13209933397212825,0.007207890543912115,0.10750910962144798,3.0236000248429207e-05,1.6902714507494032e-05,2.120679286798932e-05,1.2217648346839087,0.0,0.0,3.454002122038613e-05,0.006380798607628383,s294
136,(wfpt.86),0.5522701878543895,0.8734693124883481,-0.0018497195143400702,0.7400971192491572,3.381660613754889e-07,-1.299551832789625e-05,-1.186640414507778e-05,1.264516578655294,0.0,0.0,1.467265189125655e-06,-0.0008270880260111179,s295
137,(wfpt.87),0.3728763426526961,0.242782159506573,-0.004122738766469882,0.22964721805818222,1.81919943152975e-05,4.85854798337737e-06,5.907624755607799e-06,1.2201334596515414,0.0,0.0,1.9241057099717018e-05,-0.004029898627175446,s301
138,(wfpt.88),0.4061694979654596,0.6103370365910192,-0.00266775925309673,0.5575385777736691,3.462568527679011e-06,-9.871074201805996e-06,-8.747032471667637e-06,1.2275053541165144,0.0,0.0,4.586595270361649e-06,-0.002189610119198288,s305
139,(wfpt.89),0.38962405902592473,0.28001117757433125,0.0035435352062596903,0.2747107452004043,1.5560872653863633e-05,2.2273912393400153e-06,2.574555407641732e-06,1.2167101044813158,0.0,0.0,1.590803219320147e-05,0.0035017281222516055,s307
140,(wfpt.9),0.4649496133592706,0.9422823424289972,0.0010998957771897397,0.7688602270973552,6.989547574054455e-08,-1.3263792490558757e-05,-1.2182205402222479e-05,1.2406014838661898,0.0,0.0,1.1514681427238216e-06,0.00026377518477984025,s027
141,(wfpt.90),0.6071101795092952,0.5649987688636462,0.0013579708262718496,0.7532895925596631,4.44473880467644e-06,-8.978380678481557e-06,-1.2097111357078916e-05,1.279298745478079,0.0,0.0,1.3260499889256039e-06,0.002378732470370735,s313
142,(wfpt.91),0.5535430347757512,0.7632829421247147,-0.001358600479119683,0.7093491577382509,1.2341213220246061e-06,-1.237167428969066e-05,-1.171554864409785e-05,1.2657204805182576,0.0,0.0,1.8902380405361185e-06,-0.0011742710004033511,s314
143,(wfpt.92),0.6712157921605335,0.14936490744041647,0.004242436681014337,0.17846121931649062,2.790289417964331e-05,1.4480089579382849e-05,1.0878230303434933e-05,1.2942109597104647,0.0,0.0,2.4301083251354605e-05,0.004911264684478298,s326
144,(wfpt.93),0.4679531391030483,0.20633861839361495,-0.006085914649453607,0.12944296320129636,2.1292901772440587e-05,7.959496787002251e-06,1.732290211586829e-05,1.2491104964102553,0.0,0.0,3.065618225417399e-05,-0.004904767646648743,s328
145,(wfpt.94),0.32562512396787396,0.0559574847657713,0.008411426063798806,0.05179532915431829,4.871140144446784e-05,3.5378362048810175e-05,3.7098957980541414e-05,1.1916079414721696,0.0,0.0,5.043197443466152e-05,0.007874943409573782,s329
