,index,rsq_adj,slope_pval,int_val,log_rsq_adj,log_slope_pval,rsq,log_int_val,log_rsq,int_pval,log_int_pval,slope_val,log_slope_val,subj_id
95,(wfpt.49),-1.3330849538473188e-05,0.8410809413905362,0.510381984547035,-1.5233393428903952e-06,0.3453934311511385,5.5841740775886e-07,1.2579644373271426,1.2365763607746771e-05,0.0,0.0,-0.0007983676495395951,-0.003977740735659213,s168
96,(wfpt.5),0.0003318198173423159,6.056600059483169e-07,0.5856867688766931,0.00035944044096281047,2.1610135633223613e-07,0.00034570429046254514,1.3119256026956816,0.00037332453045801905,0.0,0.0,-0.025726529945673364,-0.032940204303905325,s014
97,(wfpt.50),4.033883688303597e-05,0.048161538299289396,0.5509317822995945,-8.713100779322858e-06,0.5415539007059993,5.422735840654447e-05,1.2606543759271207,5.176102030435281e-06,0.0,0.0,0.007389562875753087,0.002390999076245897,s170
98,(wfpt.51),5.272449695059578e-06,0.24017094499896874,0.5083536407235247,-1.3848474319733128e-05,0.956776961320562,1.916145825842097e-05,1.2535546751501254,4.0799815748115975e-08,0.0,0.0,0.004792232104521126,0.0002218647506924804,s173
99,(wfpt.52),0.002316053142834895,2.0814177846584957e-38,0.6496442440856286,0.0019607128901071302,8.34054925781419e-33,0.0023299100567761855,1.2266313849412191,0.001974574739398327,0.0,0.0,0.05579839140395886,0.05871300427382459,s179
100,(wfpt.53),1.1757178901228293e-05,0.17419351300663555,0.5008898141688878,4.580240387519474e-06,0.24884921331360382,2.5646097397635792e-05,1.2566741737979936,1.8469258565079194e-05,0.0,0.0,-0.006184891401897706,-0.0057450041213808496,s180
101,(wfpt.54),-1.3745212543270213e-05,0.9188813904479483,0.5591464940297988,9.021517326512907e-07,0.30209145374369967,1.440601580249279e-07,1.271710047321005,1.4791220995458154e-05,0.0,0.0,-0.00040305455294588707,-0.00439533577952496,s182
102,(wfpt.55),0.0019500454437435533,1.2287351553892007e-32,0.5943247173024696,0.0017279360060239446,3.9267705827223957e-29,0.001963907441195789,1.2170977856856084,0.0017418010883722967,0.0,0.0,0.05232216060740288,0.05457270122507825,s184
103,(wfpt.56),0.0008705645197712997,1.4446202886390683e-15,0.654302037941254,0.0004047879065839366,4.000524547719175e-08,0.0008844415102223779,1.3204980232607062,0.0004186715590756007,0.0,0.0,-0.0348967012011221,-0.02810617440104652,s187
104,(wfpt.57),0.006826013140408871,1.7898253615316189e-109,0.5125739055284291,0.005191803873340395,1.0370073561703537e-83,0.006839807415146892,1.1508796177282568,0.005205620845744607,0.0,0.0,0.09417439106414528,0.094342217481212,s190
105,(wfpt.58),0.0001191809504346164,0.002097676855925597,0.5487476171178131,2.8484365234948683e-05,0.08212522158077386,0.0001332639772244626,1.252649368178656,4.2568669459508435e-05,0.0,0.0,0.012824859504194479,0.00797504654242855,s192
106,(wfpt.59),0.0021981661948952125,2.6130308384180637e-36,0.6800033700593014,0.001923289424446195,5.272503478615255e-32,0.0022121216604794602,1.2607481803878977,0.0019372487345146183,0.0,0.0,0.04423847291748942,0.03772206237951687,s196
107,(wfpt.6),0.005367230130621681,1.784111497933286e-86,0.4984107433112741,0.0034463836353381128,3.239373806042292e-56,0.005381044666516233,1.1657996834496087,0.0034602248500267274,0.0,0.0,0.0852953186906271,0.078050807006233,s015
108,(wfpt.60),0.0062981892009973395,3.77374890606498e-101,0.6541672431559111,0.003871547627487093,6.516100904117542e-63,0.006311990806725287,1.2205897996172228,0.0038853829370383286,0.0,0.0,0.07716843304083651,0.06717416908710924,s198
109,(wfpt.61),0.00027769960674561833,4.601375344673038e-06,0.36192707501452537,0.00047732211584372575,2.7206847211807963e-09,0.0002915848315458991,1.1799078696721403,0.0004912045680707244,0.0,0.0,0.018196501970362478,0.023909497524217217,s205
