,index,rsq,log_slope_val,log_int_pval,int_pval,log_rsq,log_int_val,slope_pval,log_rsq_adj,log_slope_pval,rsq_adj,slope_val,int_val,subj_id
18,(wfpt.114),7.957477399878066e-05,0.00283731099316129,0.0,0.0,7.631233529425963e-06,1.2543855612247492,2.9849675915894772e-05,3.06472470323893e-06,0.19610850599768798,7.500888561073893e-05,0.008817127131335376,0.5535048280368688,s397
19,(wfpt.115),1.3002897486513731e-06,0.003945429360007143,0.0,0.0,1.8691364925937926e-05,1.3353265840081252,0.5969902606880269,1.4033659966106171e-05,0.04515202788103732,-3.3509102610462804e-06,0.0010682441298189515,0.9306372362117125,s402
20,(wfpt.116),9.08645483771453e-05,0.009520484489109866,0.0,0.0,0.00019614660506994674,1.176964718032334,1.0854599995791465e-05,0.00019144284106931142,1.066412681858351e-10,8.61700952111688e-05,0.006932792916685581,0.34688156159561384,s403
21,(wfpt.117),3.243733375835056e-05,-0.0035791323563188243,0.0,0.0,1.2956004537878485e-05,1.226723822991218,0.007622746713277681,8.400151129017708e-06,0.09172761605968015,2.7881631370907378e-05,-0.00559635814039359,0.44103616625005987,s408
22,(wfpt.118),0.0002445381387020662,0.006172827679083554,0.0,0.0,4.118683474085838e-05,1.3143530784687885,2.840965721688412e-13,3.6599194292885606e-05,0.002733129449932006,0.00023995206239935118,0.014335023047315144,0.7812265884728826,s409
23,(wfpt.119),0.0011089787260245565,0.01779415909332178,0.0,0.0,0.0002960760548345043,1.2678710677556526,3.5138861190562353e-54,0.00029145833544419464,1.1779807829349954e-15,0.0011043648680614249,0.0329130918925348,0.6344679025420362,s420
24,(wfpt.12),5.553112903178281e-06,0.0034025338068303366,0.0,0.0,1.314102512317561e-05,1.2430498435244721,0.2695770709057987,8.584342163331371e-06,0.08947042019221406,9.972880351538649e-07,-0.002280041217476057,0.5430031587017236,s034
25,(wfpt.120),1.8560466619188531e-07,0.0019288295523571721,0.0,0.0,4.170641441980649e-06,1.22610170623951,0.8398614561261823,-3.754553965507057e-07,0.33815660419846594,-4.3598903582964255e-06,0.00040441041846629635,0.46304991001131957,s421
26,(wfpt.121),0.0006148774803264034,0.012458831164664477,0.0,0.0,0.0001282291314815831,1.259408744989845,2.8199967180827178e-31,0.0001236841565008806,1.087557721511347e-07,0.0006103347793813274,0.024875947511235473,0.589726831392852,s425
27,(wfpt.122),0.0013571596480722592,0.01611453756384613,0.0,0.0,0.0002249850791189445,1.277610763804091,3.3457139196960814e-66,0.00022038754572217822,2.6520519816953103e-12,0.0013525681445165638,0.03588453588434891,0.6749769951099394,s427
28,(wfpt.123),4.273351299377559e-06,0.00380927733995749,0.0,0.0,2.518743726398487e-05,1.198720772265566,0.3338985173912279,2.059793366537832e-05,0.019147752932519857,-3.033300737254052e-07,0.001548486528167669,0.4216341520807795,s430
29,(wfpt.124),3.990673718479165e-06,-0.003951624629554531,0.0,0.0,8.928060393320614e-06,1.2969815887909193,0.34876652005123243,4.382605107600135e-06,0.16106914019025573,-5.548040100666896e-07,0.0021563278141746517,0.6574893244544724,s441
30,(wfpt.125),7.737833303589348e-05,0.00835573763209021,0.0,0.01368830713002658,7.611327373613364e-05,1.0720948846830816,0.00013667016698636303,7.079402036747062e-05,0.00015516827931870392,7.205953910371932e-05,0.008571277276300639,-0.0029753986605142693,s442
31,(wfpt.126),8.976505846414184e-07,0.0012605900021887368,0.0,0.0,1.7875630771158058e-06,1.2470563137225072,0.6574929404563822,-2.7791392667175785e-06,0.531547185402744,-3.6685970630223608e-06,-0.0008954401138964722,0.528839832271854,s449
32,(wfpt.127),0.0015452757404463835,0.0177552839496155,0.0,0.0,0.00028395595774455273,1.2958138759001594,1.919080514027634e-73,0.000279250791680008,7.976375474311455e-15,0.0015405770857567225,0.03723903934248382,0.7479983847541283,s451
33,(wfpt.128),1.3650474405269009e-06,0.0015340374869836737,0.0,1.4234805368957737e-45,4.197591539800705e-06,1.0234624318743781,0.6133950220177729,-1.2116800036654496e-06,0.37836860618029333,-3.9825960367334545e-06,0.000960412587031009,-0.03239782903783414,s453
34,(wfpt.129),5.188188857663256e-05,-0.004754564115404883,0.0,0.0,2.4282552674170788e-05,1.2394055383541884,0.0007288558540769343,1.9736650597845795e-05,0.020822846758587157,4.733662853739773e-05,-0.0070196687649916115,0.5004511542207565,s456
35,(wfpt.13),2.9320357409767794e-06,-0.009274363873322998,0.0,0.0,8.22341127167947e-05,1.3088145990576026,0.4218910788910125,7.768843275945958e-05,2.10724754505691e-05,-1.6134467997197532e-06,-0.0016897658755113715,0.7144131926467678,s042
36,(wfpt.130),2.2577473571816498e-05,-0.0012235361379465783,0.0,0.0,1.4967547613542465e-06,1.2785934218355566,0.025834766655557544,-3.0495815828146533e-06,0.5661180427131448,1.803208032946646e-05,0.00462559985125687,0.6411626949200555,s467
37,(wfpt.131),0.00033805586340862614,0.009715356320328604,0.0,0.0,7.108140126754758e-05,1.2558402625686382,6.4307502154229274e-18,6.653616651852712e-05,7.669475521339587e-05,0.0003335119041719681,0.019297284045818534,0.5671929371606221,s469
38,(wfpt.132),0.00011135277718254954,-0.006622452796298962,0.0,0.0,5.399298196706592e-05,1.2336652762621863,8.109524304944175e-07,4.941520822665524e-05,0.0005941399299011039,0.00010677658587998629,-0.009741261864181165,0.47540617004707664,s471
39,(wfpt.133),6.063484082408088e-05,0.0026893495775234394,0.0,0.0,6.734476480807494e-06,1.3013970044278116,0.0002683553737280988,2.1677133078545907e-06,0.22461135594501389,5.6068865951552915e-05,0.0073842046853511,0.7244487794072333,s473
40,(wfpt.134),8.368819766702007e-05,0.007081429665326449,0.0,0.0,0.00010432986997410687,1.1069973825602832,2.9504030321321796e-05,9.953328708001141e-05,3.106405238590643e-06,7.889238997682568e-05,0.0069844511644908125,0.08493761023219767,s477
41,(wfpt.135),5.937877034756234e-05,0.0018102054375182198,0.0,0.0,3.4893900408006218e-06,1.3248290536298781,0.00033644616991043263,-1.1317940520338965e-06,0.38487179210324995,5.476006430293889e-05,0.006732665037528875,0.819457269290647,s481
42,(wfpt.136),3.409210488358738e-07,0.00124899777458818,0.0,0.0,2.649281032218731e-06,1.222496244712088,0.7841887159348229,-1.9023889832325835e-06,0.4455123143272316,-4.204573269550593e-06,0.0004470930182863329,0.4633282359279891,s484
43,(wfpt.137),3.577366303186835e-08,0.0011664205098816747,0.0,0.0,1.9617398522298046e-06,1.3170332177182447,0.9320053681863527,-3.0047513559505745e-06,0.5296860777023833,-4.878279370679195e-06,0.00012774847207754612,0.9250414663761741,s489
44,(wfpt.138),5.186158340575453e-05,0.007045506077634374,0.0,0.0,9.999984384756466e-05,1.1265122188499612,0.000805639901498546,9.53768198093119e-05,3.3069174883429204e-06,4.724284263935008e-05,0.005618567730543004,0.17267626483601828,s492
45,(wfpt.139),0.0031620683531959903,0.03439289405573212,0.0,0.0,0.0009758248069263731,1.3082955127562756,9.79234515363684e-139,0.0009707901894766557,4.88250013468405e-44,0.0031570464490375816,0.05105135296728622,0.8795287316821424,s495
46,(wfpt.14),0.00013118062629502436,0.0012771921802538708,0.0,0.0,1.6043319953640278e-06,1.289231344805355,8.319988125800118e-08,-2.9626631712353912e-06,0.5533853678899917,0.0001266149735522637,0.010841522619122546,0.6717003058475794,s049
47,(wfpt.140),0.0002043462924095074,0.0016487355989201176,0.0,0.0,2.167391765506288e-06,1.2902626453069626,2.750098602050185e-11,-2.441084312465591e-06,0.49284737862054573,0.0001997388967019953,0.014926500522473123,0.6691960892204337,s500
48,(wfpt.141),2.885857457946006e-05,-0.0011890547915356243,0.0,0.0,1.6048040277771847e-06,1.2801184400628611,0.011841307021738365,-2.9517861572792015e-06,0.5528743537332779,2.4302855887725627e-05,0.005105226572051797,0.632286876545026,s501
49,(wfpt.142),9.916251714670032e-05,0.0018015335366238939,0.0,0.0,3.513429974399962e-06,1.2745408646203336,3.0784926527152082e-06,-1.0428400973871987e-06,0.37987182351902127,9.460711874920147e-05,0.009153695077373522,0.6137087886440169,s502
50,(wfpt.143),0.002363802095979972,0.02672900302820752,0.0,0.0,0.000755030436035864,1.2407455799187974,6.804657795691959e-112,0.0007503487941168396,6.14517340432399e-37,0.002359129283129646,0.03942858464268682,0.5901484928858558,s504
51,(wfpt.144),1.9391938202995007e-06,0.0009920261762121144,0.0,0.0,1.6886471202459674e-06,1.1870947119778457,0.5243713562192444,-3.11587255352741e-06,0.5532825156406255,-2.8455316833930766e-06,-0.0010659035436910477,0.3936016135795574,s505
52,(wfpt.145),2.8325555650576817e-05,0.011613818654529172,0.0,0.0,0.00013622219240727595,1.2366097642651475,0.012649526707480006,0.0001316658626763223,4.5602933484634225e-08,2.376983453045156e-05,0.0052484165800851384,0.5696307861042905,s507
53,(wfpt.146),6.276420051243292e-06,-0.002920443421726822,0.0,0.0,8.817773294533815e-06,1.2359426770878974,0.2399647458884144,4.272152210771374e-06,0.163687418163656,1.7309527124975688e-06,-0.002431987296516519,0.4809965318261707,s508
54,(wfpt.147),4.935202638778335e-07,0.0009545415464951093,0.0,0.0,1.009945590824124e-06,1.2408876164620462,0.7417743526777554,-3.5357936383206834e-06,0.6373887892014849,-4.051973361063332e-06,0.0006689579599948353,0.499355832999792,s509
55,(wfpt.148),9.030020764633218e-05,0.005840422518435431,0.0,0.0,3.429389383746706e-05,1.240936939100695,8.50180704875193e-06,2.9738179153082633e-05,0.006076353922832671,8.57447688734636e-05,0.009292868999593381,0.49750163350283066,s510
56,(wfpt.149),6.36324303926461e-06,-0.0024567189033148674,0.0,0.0,5.923466399382349e-06,1.236462891442105,0.2372734581255171,1.3676432186748855e-06,0.2541785360713352,1.8074218621766391e-06,-0.00252907709206156,0.460444456338732,s551
57,(wfpt.15),0.003438046956540264,0.02491881249169584,0.0,0.0,0.0006521004324605562,1.2715746824064338,4.848607733936093e-166,0.0006475367624303452,6.362912774481348e-33,0.003433496403781655,0.054868112627942146,0.6727874497209898,s060
58,(wfpt.150),1.5161915874695175e-05,-0.006516555147217848,0.0,0.0,4.580843020773884e-05,1.2939653494588383,0.06810849589336106,4.124965260166036e-05,0.0015250109588582437,1.0606134782986665e-05,-0.003485263948947252,0.701652852408406,s556
59,(wfpt.16),1.9555905185097977e-05,0.0022293607448084667,0.0,0.0,4.870862660988351e-06,1.2679601576127273,0.03850132098089115,3.0448719756659415e-07,0.3016976380479944,1.4989742735838085e-05,0.004313111818358171,0.5940116112318248,s062
60,(wfpt.17),2.504265474234657e-05,0.0021302880025982837,0.0,0.0,4.126452328501173e-06,1.2693700427168981,0.01891463804609071,-4.191074300941011e-07,0.34070026390666086,2.049727270547752e-05,0.005064478779298942,0.5959635950647102,s063
61,(wfpt.18),3.06884593892498e-05,0.005179719325040115,0.0,0.0,6.273230975362143e-05,1.1296341616826941,0.009948602285049514,5.809143281565454e-05,0.00023642662282181458,2.606962082463138e-05,0.00409419668748056,0.21439383731315467,s065
62,(wfpt.19),4.319703886812576e-07,-0.00024062713475660451,0.0,0.0,1.0223861757197028e-07,1.238355733845223,0.7589432073715121,-4.48765396865447e-06,0.8813587068646237,-4.155225677315855e-06,0.00045950857074546474,0.48138976710968095,s066
63,(wfpt.2),2.467262944283455e-06,-0.002213490928793603,0.0,0.0,5.4454201802167645e-06,1.279860531582,0.46383515113751117,8.449520589870474e-07,0.27661202946477476,-2.130469139327573e-06,0.001498952392119137,0.6615531245468926,s009
