,index,log_slope_val,rsq_adj,slope_pval,log_int_pval,log_rsq_adj,log_slope_pval,rsq,log_int_val,int_pval,slope_val,log_rsq,int_val,subj_id
13,(wfpt.11),0.09344466189399647,0.011646584803015947,7.124780095317444e-308,0.0,0.01137889896103228,8.207312255516423e-301,0.011654821150112071,1.1593090944354834,0.0,0.09378933104915219,0.011387137538862446,0.5374730583522885,s032
14,(wfpt.110),0.024680309427403027,0.0006364334322624954,1.3998857529855504e-18,0.0,0.00020202228233456854,5.050051338823221e-07,0.0006447615313847077,1.2241457015759374,0.0,0.035900925129730824,0.00021035400157987105,0.5038281539752189,s384
15,(wfpt.111),0.08246570904351347,0.0077780376776454,5.40272362508945e-206,0.0,0.006391903268045174,1.4178962903345865e-169,0.007786306262902887,1.2053262937163502,0.0,0.08097922695031257,0.006400183404519089,0.6681439481786078,s388
16,(wfpt.112),0.0019763558741903407,1.0275330955655804e-05,0.13554020886107818,0.0,-5.95629840294265e-06,0.5913563943702962,1.8643515833027813e-05,1.278573624276783,0.0,-0.005050267651117079,2.412022305220418e-06,0.6298624752064965,s391
17,(wfpt.113),0.013978744160232176,0.00013085501065335237,5.1935063734614845e-05,0.0,0.00040343115194241275,3.4979133576123767e-12,0.00013936460771357684,1.1977513465265872,0.0,0.00812650582768814,0.0004119427755839844,0.3981453032612806,s396
18,(wfpt.114),0.021399134713043784,0.00038959800726035,5.320866875183735e-12,0.0,0.0005046438441440593,4.880210770947769e-15,0.000397963017862879,1.1400574890697608,0.0,0.01923126864566718,0.0005130093621152909,0.30225177664496017,s397
19,(wfpt.115),0.09858683359868053,0.011109374039947828,2.8185024598476216e-291,0.0,0.010942522906764673,6.498493085486445e-287,0.011117684115040438,1.1704405574335288,0.0,0.09902494880138421,0.01095083438397948,0.5991412590413452,s402
20,(wfpt.116),0.0024602568148994752,-6.1532945798692396e-06,0.6090134965361496,0.0,-3.124894977224457e-06,0.4291906237055053,2.1801594763948273e-06,1.2029911945310645,0.0,0.0015715320481565582,5.208533842004925e-06,0.35693505362460665,s403
21,(wfpt.117),-0.0020905724907387385,-8.367961003230562e-06,0.994624201289327,0.0,-5.102113958432852e-06,0.5321400046836011,3.798862335813169e-10,1.2390504767748416,0.0,2.0688398290962754e-05,3.266199601559272e-06,0.45470926441739257,s408
22,(wfpt.118),-0.003133550461171992,-7.702616908078497e-06,0.7832108674573243,0.0,-1.8824297327579842e-06,0.37895012051201205,6.308500593021904e-07,1.2498860959042988,0.0,0.0009451886887578974,6.450988732642493e-06,0.4951867318183402,s409
