,index,int_pval,rsq_adj,log_slope_pval,log_rsq,slope_pval,log_int_val,log_rsq_adj,log_slope_val,int_val,slope_val,log_int_pval,rsq,subj_id
62,(wfpt.65),0.0,0.0011011805585060541,2.6398263534185647e-14,0.000644099865531711,1.4070544809529695e-23,1.2064512475888347,0.0006329956643258416,0.033875561915591254,0.4721005875576717,0.040526701295934955,0.0,0.001112279557599738,s212
63,(wfpt.66),0.0,-1.0301289720127116e-05,0.9864171101038746,3.220443911544635e-09,0.7871554921361006,1.2418696706829488,-1.1108137550452923e-05,6.996619832118356e-05,0.4710728601531238,-0.0010637812422472446,0.0,8.10059309075406e-07,s216
64,(wfpt.67),0.0,-1.0244524682345713e-05,0.8954341380467365,1.9194068956451815e-07,0.7800097829145355,1.2433310144845207,-1.0919415207810701e-05,-0.00047943015757164614,0.47547270896846605,0.0009674047626857963,0.0,8.668237162501313e-07,s218
65,(wfpt.68),0.0,-5.956454111499809e-06,0.11286110038460634,2.7930939773268548e-05,0.49579553877954385,1.2367686173770185,1.6819645170640385e-05,0.004782144068145507,0.4923102464379989,0.00208317070950368,0.0,5.154846641208799e-06,s226
66,(wfpt.69),0.0,0.0018569795448029058,1.2586918653325389e-23,0.0011400500503317978,1.1405364286196226e-37,1.198333974661025,0.0011286991111064681,0.04025465461918595,0.4677889791385683,0.046967822208829835,0.0,0.0018683222080201345,s233
67,(wfpt.7),0.0,0.0013378685652825073,2.3452389131166923e-10,0.00044857728862268686,4.192597288029992e-28,1.2322918975665862,0.00043740886672827273,0.024260410143126968,0.5255992298826018,0.03695587462808135,0.0,0.0013490269260622023,s017
68,(wfpt.70),0.0,6.774307351964381e-05,0.10783634020647102,2.8730115086417207e-05,0.007721727566697931,1.2934473686084558,1.761895282681447e-05,-0.007341782060563032,0.6220670652050346,0.010540254143741629,0.0,7.885355537962102e-05,s237
69,(wfpt.71),0.0,0.05721921626670323,0.0,0.04144153835072051,0.0,1.054865264713466,0.04143088746446033,0.18773481771274653,0.534497882851203,0.20574981499352335,0.0,0.05722969172513859,s238
70,(wfpt.72),0.0,0.0008220721685617827,3.652710897183759e-08,0.0003387856984956583,5.7536711536071934e-18,1.2117648992963277,0.0003276160498522085,0.02222792166574069,0.4451230007323082,0.03328714246518896,0.0,0.0008332362924940995,s244
71,(wfpt.73),0.0,0.0035672858698813092,2.426325224994807e-49,0.0024197491239350555,3.8908266466734644e-72,1.212413632457519,0.002408664652603809,0.06212928156266298,0.606895539400227,0.06500819218011988,0.0,0.0035783574675004592,s254
72,(wfpt.74),0.0,0.00037347873285242805,0.0027154794294053327,9.988017318240949e-05,4.010930184251619e-09,1.2466315458253847,8.876992495665537e-05,0.015400853585115143,0.541730565337237,0.024800476322436753,0.0,0.00038458581761180444,s259
73,(wfpt.75),0.0,-1.0511589195960624e-05,0.699245257178294,1.6584691606702506e-06,0.8162819084489195,1.2127277040896298,-9.452870441517547e-06,0.0013365004908977157,0.3931492497085854,0.0007894275714762258,0.0,5.997621699282973e-07,s262
74,(wfpt.76),0.0,-9.660564854963027e-06,0.07980101625433095,3.4099806425436086e-05,0.7178454946226531,1.2408630826481968,2.2988827290459923e-05,0.006342739949827242,0.5118175208813243,0.0012641626582304993,0.0,1.4507770551563937e-06,s265
75,(wfpt.77),0.0,-9.408833491431068e-06,0.8003170135788789,7.108756013840534e-07,0.6954757059853267,1.200098918533767,-1.0400474529825843e-05,0.0008838265412489596,0.33462082716172736,0.0013446983666555827,0.0,1.702505621592465e-06,s269
76,(wfpt.78),0.0,0.009334200012434679,1.8203708982045113e-101,0.005068837048852637,8.884111443408406e-186,1.1442558338424036,0.005057782012485745,0.09319675053898614,0.48093270954464123,0.10887222402872443,0.0,0.009345207532517996,s273
77,(wfpt.79),0.0,-8.788582316121563e-06,0.8797810885331361,2.5418006832644835e-07,0.6475193700182164,1.2292538832309194,-1.0857175137601871e-05,-0.0004940521694023654,0.43237987682571,-0.0014973270958678364,0.0,2.322749905192545e-06,s275
