,index,slope_val,slope_pval,rsq_adj,rsq,int_val,int_pval,log_int_val,log_rsq_adj,log_int_pval,log_slope_val,log_slope_pval,log_rsq,subj_id
28,(wfpt.123),0.009316424476707512,0.06767022156215986,4.923650153387804e-05,7.028853975576954e-05,0.6676614709509284,0.0,1.2931909384588165,-2.0486812686293376e-05,0.0,-0.0009032066386654505,0.8695836232295243,5.675799449322838e-07,s430
29,(wfpt.124),0.023073454229655364,5.134552658033713e-07,0.0005096364077709081,0.0005306787531591528,0.6425078150720848,0.0,1.2701773891198076,0.00024187230719563413,0.0,0.018292921974746565,0.0004092022431956677,0.0002629202898415395,s441
30,(wfpt.125),-0.00945235722829268,0.06388605039933777,5.123369148796186e-05,7.228568766282084e-05,0.5384708077878462,0.0,1.2641758812509112,2.7043714508678818e-05,0.0,-0.008423919647606665,0.13067409126023186,4.809666318617012e-05,s442
31,(wfpt.126),0.0012189495597093197,0.7779116013341933,-1.9378712413420374e-05,1.6747703697195249e-06,0.7553893897766195,0.0,1.332180928517253,3.732856701377241e-05,0.0,-0.008964869528648176,0.09586480013592698,5.838085593434794e-05,s449
32,(wfpt.127),0.008280613819885315,0.06634969086277964,4.939957404215267e-05,7.023231223302062e-05,0.5813858293487206,0.0,1.2653189419632183,1.2000072854290167e-05,0.0,0.005974228531442239,0.2093458791401129,3.2834024267347495e-05,s451
33,(wfpt.128),0.1278795856214267,0.0,0.03247671100911831,0.0324987006745423,0.7567931171796329,0.0,1.169450228063845,0.03347782936086541,0.0,0.13492046693340504,0.0,0.033499796273082416,s453
34,(wfpt.129),0.003262076733936232,0.5169702497775458,-1.3183649946846288e-05,9.544438956288204e-06,0.6555508471220038,0.0,1.2708194310333372,3.725656298647628e-05,0.0,0.008511414678082556,0.10425825006834875,5.998402203999387e-05,s456
35,(wfpt.13),0.03533069648594479,4.63088499092315e-14,0.0011883063328308463,0.0012095580976273501,0.7309266220057327,0.0,1.3022258029722158,9.699778616312216e-05,0.0,0.01214673466240887,0.01838847344211801,0.00011827322346280589,s042
36,(wfpt.130),0.06957997006716776,6.319834371410397e-64,0.005898110775330312,0.00591882166283253,0.6363006224745236,0.0,1.2264582779728497,0.003430581425309831,0.0,0.05798758278260918,5.69440942230717e-38,0.0034513437207445152,s467
37,(wfpt.131),0.08844192226008178,1.1362606878994998e-136,0.012796517246372097,0.012817084414078694,0.6723687703503181,0.0,1.1978270331089305,0.012865361758508498,0.0,0.09086455233089194,2.125450561564715e-137,0.01288592749192452,s469
38,(wfpt.132),0.022198248031440732,2.4597052118501173e-06,0.0004415443113457984,0.0004623688796844272,0.7092295805370479,0.0,1.3026375721365335,-1.6304724116844582e-05,0.0,0.0023078426990544576,0.6410160013695064,4.52981700393984e-06,s471
39,(wfpt.133),0.01884172030908911,0.0005461122492256879,0.00022813698025070384,0.000248965994667949,0.5834330714791401,0.0,1.267181835309641,8.767142620769164e-07,0.0,0.006902105034325465,0.30734302167576283,2.1710463366853006e-05,s473
40,(wfpt.134),0.003882849658112881,0.4097701938273375,-6.677699186496966e-06,1.4156207305271451e-05,0.4994717287389876,0.0,1.2451740908181015,5.676942851362554e-07,0.0,0.0054071114631303735,0.3108108377007279,2.1401449827984642e-05,s477
41,(wfpt.135),-0.0023887591233018213,0.5968510404425631,-1.5324491048351874e-05,5.952883459392488e-06,0.6972745904050781,0.0,1.3010712237019555,-7.912894161687944e-06,0.0,-0.004024717568571819,0.42804660002018624,1.3365680885057962e-05,s481
42,(wfpt.136),0.009332699770969545,0.032260804661938126,7.468036477398243e-05,9.551257627071763e-05,0.757363752672118,0.0,1.3044832355891722,1.9825576977106074e-05,0.0,0.006257621394983412,0.1624394615603538,4.066327258267499e-05,s484
43,(wfpt.137),0.00562524489667536,0.20099836283341174,1.3659282489086877e-05,3.516482756993344e-05,0.7124728251282395,0.0,1.2806490357299327,5.853942643918586e-05,0.0,0.008554837892154825,0.053749140676502445,8.005603738692191e-05,s489
44,(wfpt.138),-0.028697117809728404,1.6793880438763684e-10,0.0008377579093092891,0.0008587933467310016,0.7405735085710353,0.0,1.3375028374391715,0.0005575106459420054,0.0,-0.02586431391493088,1.581859171381732e-07,0.0005785528694371989,s492
45,(wfpt.139),0.017276263045502786,9.795113949398979e-08,0.0005770024817516317,0.0005980434088768138,0.9545942083241228,0.0,1.35289857434268,0.0005484816795549019,0.0,0.017825426185896123,1.9737661561524997e-07,0.0005695232071307732,s495
46,(wfpt.14),-0.003083822713175613,0.5326887606236902,-1.2724064637037458e-05,8.109967823299868e-06,0.6000619014994916,0.0,1.2778821781323224,1.5674258234343874e-05,0.0,-0.0075115480856033125,0.18558852940887835,3.650813309863388e-05,s049
