,index,int_pval,int_val,log_rsq_adj,log_int_val,rsq_adj,log_int_pval,log_rsq,slope_val,rsq,log_slope_pval,log_slope_val,slope_pval,subj_id
11,(wfpt.108),0.0,0.7983268673581844,0.0007395591744251417,1.2899834640033787,5.926872194694788e-05,0.0,0.0007603927254390408,0.0077992210064131914,8.010125452628802e-05,1.539080771570999e-09,0.022594073577360037,0.04990005741914432,s380
12,(wfpt.109),0.0,0.8568610177733824,-9.017829563529034e-06,1.3280834566994688,-1.2820192606843861e-05,0.0,1.2042085730579188e-05,-0.00287531099399876,8.233152099190733e-06,0.4495477885685466,0.0036911405730581572,0.5317449753523967,s383
13,(wfpt.11),0.0,0.713810023685946,0.00702154164724178,1.189888351738991,0.0011870899927725054,0.0,0.007042273617726913,0.032874919244352305,0.0012078990285857572,1.3678225596873837e-75,0.07949033573627434,2.606327679073257e-14,s032
14,(wfpt.110),0.0,0.6475881881099659,0.00016815386438295832,1.2670605674032678,0.00010948791582232609,0.0,0.0001896607121563143,0.010298103176064223,0.00013099140002803544,0.0029832432253188235,0.011700144040455041,0.01358589716405773,s384
15,(wfpt.111),0.0,0.6559656070672167,0.0056149151592643776,1.1848839348544562,0.0021293874174923566,0.0,0.0056363912312449305,0.040134553271880716,0.002150847462064953,7.288877824849819e-59,0.06572774311176466,1.4367428384762102e-23,s388
16,(wfpt.112),0.0,0.5741874150664809,0.00048412979381518007,1.227794992026285,0.00018929539278200735,0.0,0.0005049573801916285,0.014452932037823111,0.00021012521641583515,8.512404039595018e-07,0.022613193870094757,0.0014935589480180665,s391
17,(wfpt.113),0.0,0.5910661076860542,-7.228344479637272e-06,1.280166125822442,0.00016192890146404793,0.0,1.3605573484065658e-05,0.011504478337527418,0.00018275929524502743,0.41902862058274526,-0.0029803129620198064,0.0030575723459443085,s396
18,(wfpt.114),0.0,0.5440137277046466,6.99716193155453e-05,1.2478837393256927,-9.592767598043395e-06,0.0,9.08056651198752e-05,0.0030304393735048575,1.1241199625477982e-05,0.036829482014024695,0.00823542616699905,0.4626182393090791,s397
19,(wfpt.115),0.0,0.7379669655811221,0.004555473933315346,1.2259459652672935,0.0015453045653037734,0.0,0.004576223167834681,0.038471154893862713,0.0015661061381579966,8.858771291761789e-50,0.06515152935753021,4.193555741894215e-18,s402
20,(wfpt.116),0.0,0.7076220600301663,0.00023559369916681394,1.2827935868172102,3.0111668607446518e-05,0.0,0.00025665334162261466,0.0060095395928206185,5.116410946592875e-05,0.0004816803416248509,0.012410497525387872,0.1190154759100893,s403
21,(wfpt.117),0.0,0.35782851628603474,0.01871333372134265,1.0297681893322856,0.01640636305381815,0.0,0.018734099056247788,0.11645547412849384,0.01642707072423122,2.335313640887553e-196,0.11225329384434979,4.1537374310148305e-173,s408
22,(wfpt.118),0.0,0.7886083572172516,0.0004791368323039391,1.3065216536569302,0.003144205353345364,0.0,0.0004999632208014804,0.050721094336448606,0.0031649736150725083,9.633645250023377e-07,0.02213335122250604,5.870363949524661e-35,s409
23,(wfpt.119),0.0,0.4506233711890317,0.013179590527891749,1.1358176908030981,0.009397540378082714,0.0,0.013200548803552259,0.06280748343516106,0.009418395605763852,4.377894844394012e-138,0.07187256471927003,9.406065577268396e-100,s420
24,(wfpt.12),0.0,0.6819447961511707,1.5253124312053501e-05,1.288095501909996,7.206684824789811e-06,0.0,3.609048098784928e-05,0.004909794975704713,2.8040302052501076e-05,0.1881608700357085,0.005642870254861307,0.24599910090231755,s034
25,(wfpt.120),0.0,0.6860171057541807,0.0009499611644643302,1.2747841731462526,0.0025978417529574083,0.0,0.0009707760078677685,0.04029004359233322,0.00261862139749669,8.637388873847348e-12,0.026777377445553738,3.3126963789789993e-29,s421
26,(wfpt.121),0.0,1.1588934850787789,-7.403274360884282e-06,1.410418548658352,6.299133290532666e-07,0.0,1.4125873807446787e-05,0.0042729718056680995,2.2135738617423684e-05,0.4179344433828097,-0.003558551662449146,0.31033067933962166,s425
27,(wfpt.122),0.0,0.8826968491949428,5.552689639976016e-06,1.3517969492734272,0.0010516718629165478,0.0,2.6611411101384874e-05,0.025325615966166788,0.0010727027967918357,0.2609620104687136,0.0036629502942644512,9.34047343103017e-13,s427
28,(wfpt.123),0.0,0.9636545260301862,0.00011533481191483563,1.3806961154857218,2.4310801132187976e-05,0.0,0.00013640364467626398,-0.005439923790514058,4.536336411675723e-05,0.010948352988961836,-0.010822329246660555,0.1421346409705504,s430
29,(wfpt.124),0.0,0.8537920561890608,5.529991630759401e-05,1.333162756944295,0.0002574457338341274,0.0,7.614512581521904e-05,0.0141277940011114,0.0002782741376397002,0.05597817485695752,0.00710750692109496,0.0002572784499419185,s441
30,(wfpt.125),0.0,0.5634933058728508,0.007466986435307188,1.1624807255074674,0.0038745571046497895,0.0,0.00748769872690902,0.05600070372752269,0.0038953101503984566,2.6125722836384508e-80,0.07504040703060874,1.2164739660667808e-42,s442
31,(wfpt.126),0.0,0.6534891830794682,0.00030068202584432324,1.307004274540286,2.244290934372284e-05,0.0,0.000321513434845655,-0.0058672822198688225,4.327620914346131e-05,8.555354927236453e-05,-0.014909777602093494,0.14951473034041196,s449
32,(wfpt.127),0.0,0.9462417646316558,2.2741020072603035e-06,1.3618241473788901,0.000646053145693215,0.0,2.31165065154304e-05,0.02187792699352576,0.0006668734533423759,0.29228093342926115,0.004239941708782027,1.5267705005187104e-08,s451
33,(wfpt.128),0.0,0.8480809154324738,9.426800505973887e-05,1.3261317254069518,-5.155206394436007e-06,0.0,0.0001155634374402359,0.003315044422494686,1.6121951740943885e-05,0.019835596220658485,0.00853946935263792,0.3840500350856185,s453
34,(wfpt.129),0.0,0.4618405712951008,0.03032715406472619,1.0643961994486384,0.02439804535041812,0.0,0.03034897388574187,0.13883278020228434,0.02441996948252556,8.687921359167515e-300,0.14051592203642155,3.1175441710038444e-241,s456
35,(wfpt.13),0.0,0.851760349309677,3.1772333138668785e-05,1.3391322012724476,0.0008241765514188648,0.0,5.3060935447768465e-05,0.021749174947365762,0.000845436063822369,0.114399717192033,0.005550201336329334,2.8861298418504957e-10,s042
36,(wfpt.130),0.0,0.3661361523073166,0.050048110637008314,0.9939270647439432,0.04256730916750229,0.0,0.05006811762694885,0.1848018812226893,0.042587466069559876,0.0,0.18615372715270617,0.0,s467
37,(wfpt.131),0.0,0.5677214133061277,0.0005138153363631881,1.2377218974196031,0.00010222644387791746,0.0,0.0005346383990240122,0.010249341738399607,0.00012305808148604935,4.0546002891948764e-07,0.021122537954916067,0.015082171180940468,s469
38,(wfpt.132),0.0,0.5350106828811709,0.0006633033019819434,1.2057290677124977,0.0002173864942192072,0.0,0.0006841280226765889,0.015167618728515263,0.0002382157326096257,1.0005707854182717e-08,0.025698707478283053,0.0007206875440895753,s471
39,(wfpt.133),0.0,0.812273804903059,1.861254891000197e-05,1.3162772641963305,-1.790116904576422e-05,0.0,3.945157253038012e-05,0.0015389506761246405,2.932971273073015e-06,0.16885253724143293,0.005595322239213607,0.7075112791379948,s473
40,(wfpt.134),0.0,0.5384334439200623,0.005366534696364278,1.1642948775414306,0.002853930115443215,0.0,0.00538748096287589,0.05276209399556228,0.002874923106240712,9.901457224141382e-58,0.07032087051923028,1.3687927462092988e-31,s477
41,(wfpt.135),0.0,0.6916817576791608,6.45654089360681e-05,1.2870126940159992,-2.0819480645251076e-05,0.0,8.54060807701229e-05,-0.00010598367074444049,1.4720473062723727e-08,0.04293827391813993,0.007481987238871286,0.9787939824167662,s481
42,(wfpt.136),0.0,0.6324037622730276,0.002767917097470818,1.215677788676232,0.0012914611341798832,0.0,0.0027887044587554533,0.03345760279769942,0.0013122679955490657,5.560106580246813e-31,0.04624892965091813,2.0389794823041593e-15,s484
