,index,rsq_adj,slope_val,int_pval,log_slope_pval,log_int_pval,int_val,log_slope_val,slope_pval,log_int_val,log_rsq_adj,log_rsq,rsq,subj_id,sub_id
0,wfpt,-1.5687143515963342e-05,0.00096567632600085,0.0,0.7290324796149081,0.0,0.4794735695805438,0.0012869637825250156,0.8084006291355107,1.2438487873686934,-1.4667076680741076e-05,2.000112223843331e-06,9.800623900213523e-07,0,s063
0,wfpt,-1.0542427358650741e-05,-0.0014467893306324073,0.0,0.8080677592311972,0.0,0.4391829751394409,-0.0011158733043403098,0.7181537469844879,1.2264454455257592,-1.140620457174002e-05,7.152927337106263e-07,1.5790594765086041e-06,0,s065
0,wfpt,-6.469779094686601e-07,-0.0033118999101848625,0.0,0.32365898946932425,0.0,0.4453383619957031,-0.003389323945035938,0.33099611028629217,1.2391179467564033,-3.0453926647133756e-07,1.1460308608657321e-05,1.1117873994326288e-05,0,s066
0,wfpt,-1.0017019437480457e-05,-0.0013549862418565034,0.0,0.6879481908713018,0.0,0.46369876971205126,-0.0014009038890232944,0.699904825085987,1.2436771564548668,-9.867076253611273e-06,1.8978841231920285e-06,1.7479427034672312e-06,0,s071
0,wfpt,1.5606775485177415e-05,-0.005458931397978721,0.0,0.19051471699316963,0.0,0.49793066179574175,-0.005022318802312423,0.1435719939716059,1.2568641478104925,9.776265805450102e-06,2.3474949674251455e-05,2.9305379482869043e-05,0,s081
0,wfpt,-1.0509950985504446e-05,0.0011700799420357802,0.0,0.7398609458806178,0.0,0.4503247734471304,0.0011742579063515335,0.7439637147057001,1.2368284218419243,-1.04678842687278e-05,1.2970831764214097e-06,1.2550169545821888e-06,0,s082
0,wfpt,-1.1897479388789378e-05,5.585128169719399e-05,0.0,0.9816285552954642,0.0,0.46807745428146424,-5.76828939918006e-05,0.9798879211793476,1.2418069930475293,-1.1898732557247271e-05,6.312725897572591e-09,7.565879256432595e-09,0,s083
0,wfpt,-2.40048001076687e-06,0.0038345441374111134,0.0,0.3042049842486436,0.0,0.4005424668243317,0.004150471111534097,0.37230591282046666,1.2184318241417227,6.550911915148561e-07,1.2419927776674555e-05,9.36439252263721e-06,0,s084
0,wfpt,-1.1347984250065224e-05,-0.0006304990198489849,0.0,0.8412820743871916,0.0,0.42517412314940145,-0.0006690892513308358,0.8506695319609326,1.2317757778434768,-1.1293179932092556e-05,4.7179722251211587e-07,4.1699354935698096e-07,0,s085
0,wfpt,-1.1757901416942218e-05,8.088846920664325e-05,0.0,0.6250459872556979,0.0,0.6765766291492847,0.001810342187861906,0.9804271913784692,1.2900642437093288,-8.955001609134428e-06,2.809948037363341e-06,7.081205177783545e-09,0,s086
